otime,nets,stas,snr,smb_peak,max_time,centroid_time,lats,lons,elevs,char_freq,duration,sharp_weight,volcano,event_ID,MaxD,MaxEnv,ER,azimuth,flow_dir,flow_speed,xsta,ysta,xbest,ybest,evlat,evlon,dist,Lm_sta_D,Lm_evt_D,Lm_sta_Env,Lm_evt_Env
2023-05-28T17:18:00.000000Z,CC,ARAT,20.004558489343395,41.9,-9.775,72.57252556702939,46.788755,-121.852537,1823.137,2.674929267742923,113.525,1376,Mt_Rainier,0000,3.571893062749037e-08,5.33352229589908e-09,5.928450833051404e-10,-153.41339308502953,9.12315578316882,631.5669051546661,587579.4128296826,5182328.866903483,592490.8835297638,5192500.774364753,46.87960854799412,-121.78614218414948,11295.5852366485,0.44135211823466336,-0.17957830740524172,-1.460316836260144,-2.0138031097596776
2023-05-28T17:18:00.000000Z,CC,CRBN,7.759357241776656,43.975,1.4499999999999993,67.06158810217174,46.988131,-121.961063,499.08,2.8306975133921553,128.625,791,Mt_Rainier,0000,5.990156899841954e-09,1.8716918267550233e-09,4.00075174225254e-11,-47.67882188126343,9.12315578316882,631.5669051546661,579002.9793525488,5204368.929939964,592490.8835297638,5192500.774364753,46.87960854799412,-121.78614218414948,17965.986637286253,-1.0889734871022565,-0.17957830740524172,-2.252248350472564,-2.0138031097596776
2023-05-28T17:18:00.000000Z,CC,OBSR,28.36381133284265,41.175,-0.47499999999999964,76.87032023325442,46.899719,-121.815331,2382.0,3.330957112817606,110.0,540,Mt_Rainier,0000,2.9596965108919683e-07,3.513964139381819e-08,1.9236339188672475e-07,-44.75669998696289,9.12315578316882,631.5669051546661,590233.1015174668,5194701.517895288,592490.8835297638,5192500.774364753,46.87960854799412,-121.78614218414948,3152.911622967565,1.8540811328465345,-0.17957830740524172,-0.2768459084806376,-2.0138031097596776
2023-05-28T17:18:00.000000Z,CC,PANH,20.897210097871113,41.85,-7.925,73.52486957956869,46.859032,-121.642592,2086.0,3.5296997353345048,111.975,437,Mt_Rainier,0000,2.1999708566858845e-08,3.2160187036760004e-09,5.601215285748981e-10,101.78899927692852,9.12315578316882,631.5669051546661,603468.2226051212,5190393.443573176,592490.8835297638,5192500.774364753,46.87960854799412,-121.78614218414948,11177.78225948674,-0.04906562796992331,-0.17957830740524172,-1.9719506671600757,-2.0138031097596776
2023-05-28T17:18:00.000000Z,CC,PARA,14.065096117889349,41.725,-8.925,70.92811554168311,46.786442,-121.742149,1651.18,2.7396272596283544,117.07499999999999,1336,Mt_Rainier,0000,4.157315978831376e-08,4.6538381575773594e-09,1.414333442136328e-09,162.0812018043389,9.12315578316882,631.5669051546661,596008.743591618,5182200.7569370195,592490.8835297638,5192500.774364753,46.87960854799412,-121.78614218414948,10884.19489105171,0.572720932486273,-0.17957830740524172,-1.6170415397879645,-2.0138031097596776
2023-05-28T17:18:00.000000Z,CC,PR04,11.189241553152842,43.625,11.100000000000001,69.63209868074411,46.929694,-121.988976,912.7,3.4370888376923303,122.25,567,Mt_Rainier,0000,1.560782543250291e-08,2.3062011163838416e-09,2.4143778784150355e-10,-70.05501041461929,9.12315578316882,631.5669051546661,576964.1871055262,5197847.384817697,592490.8835297638,5192500.774364753,46.87960854799412,-121.78614218414948,16421.465987723695,-0.1807587008518574,-0.17957830740524172,-2.0929294871874524,-2.0138031097596776
2023-05-28T17:18:00.000000Z,CC,PR05,13.208062761185703,42.425,36.95,70.37728115655057,46.841649,-121.948912,1553.0,3.8100558981914525,117.44999999999999,339,Mt_Rainier,0000,7.349231135303805e-09,2.503287495956915e-09,4.724632068654307e-11,-108.77317599228611,9.12315578316882,631.5669051546661,580145.072644892,5188103.662886836,592490.8835297638,5192500.774364753,46.87960854799412,-121.78614218414948,13105.481134023574,-1.0579927762386587,-0.17957830740524172,-2.13498361014623,-2.0138031097596776
2023-05-28T17:18:00.000000Z,CC,RUSH,17.523103751883024,42.65,30.6,73.76474474099643,46.90306,-121.94439,1235.0,2.864698200261432,114.42500000000001,1133,Mt_Rainier,0000,2.5783755736706e-08,5.540418157124222e-09,6.038703167069312e-10,-77.70687786435796,9.12315578316882,631.5669051546661,580398.1007043333,5194932.442229739,592490.8835297638,5192500.774364753,46.87960854799412,-121.78614218414948,12334.845157870282,0.16382490029897623,-0.17957830740524172,-1.3738497931886884,-2.0138031097596776
2023-05-28T17:18:00.000000Z,CC,SIFT,15.219226797897967,43.125,7.75,70.46884611648001,46.867092,-121.953246,720.9,2.5660063660532146,112.325,1931,Mt_Rainier,0000,1.4303570215566484e-08,1.972351714607907e-09,1.1314693751890992e-10,-96.19191362753759,9.12315578316882,631.5669051546661,579776.918221719,5190926.535429666,592490.8835297638,5192500.774364753,46.87960854799412,-121.78614218414948,12811.055463111159,-0.4045764290432925,-0.17957830740524172,-2.3858590060313003,-2.0138031097596776
2023-05-28T17:18:00.000000Z,CC,VOIT,14.080951639001972,43.75,38.175,70.62142498891912,46.96633,-121.9834,977.1,2.322583057243278,116.42500000000001,1467,Mt_Rainier,0000,8.235387625578132e-09,1.8899597536824e-09,8.461877527558547e-11,-57.15859106929021,9.12315578316882,631.5669051546661,577335.8673469377,5201924.018110105,592490.8835297638,5192500.774364753,46.87960854799412,-121.78614218414948,17845.784885682115,-0.7743428092440001,-0.17957830740524172,-2.246227707770227,-2.0138031097596776
