,otime,nets,stas,snr,smb_peak,centroid_time,lats,lons,elevs,char_freq,duration,sharp_weight,volcano,event_ID
0,2023-12-10T12:19:00.000000Z,CC,ARAT,20.385755126475765,9.375,25.9,46.788755,-121.852537,1823.137,2.928168639864018,110.3,939,Mt_Rainier,0000
1,2023-12-10T12:19:00.000000Z,CC,OBSR,13.015297344899194,9.875,24.725,46.899719,-121.815331,2382.0,3.50551135553262,115.92500000000001,327,Mt_Rainier,0000
2,2023-12-10T12:19:00.000000Z,CC,PANH,25.845379478920076,10.024999999999999,77.625,46.859032,-121.642592,2086.0,3.58728755168705,108.45,288,Mt_Rainier,0000
3,2023-12-10T12:19:00.000000Z,CC,PARA,29.70141579847783,8.350000000000001,84.075,46.786442,-121.742149,1651.18,2.5442644088456996,112.925,1510,Mt_Rainier,0000
4,2023-12-10T12:19:00.000000Z,CC,PR04,7.04511927502467,-15.0,26.5,46.929694,-121.988976,912.7,4.592285372014222,131.65,198,Mt_Rainier,0000
5,2023-12-10T12:19:00.000000Z,CC,PR05,10.672576753262108,11.850000000000001,80.2,46.841649,-121.948912,1553.0,4.007990513720096,125.625,269,Mt_Rainier,0000
6,2023-12-10T12:19:00.000000Z,CC,RUSH,11.981717327195557,11.075,26.75,46.90306,-121.94439,1235.0,3.284177241953006,119.625,637,Mt_Rainier,0000
7,2023-12-10T12:19:00.000000Z,CC,SIFT,9.802825702971614,13.100000000000001,78.15,46.867092,-121.953246,720.9,2.9084939717666223,130.2,867,Mt_Rainier,0000
8,2023-12-10T12:19:00.000000Z,UW,LO2,18.11630825556993,10.125,79.525,46.750599,-121.809601,853.0,4.317074644988036,115.19999999999999,772,Mt_Rainier,0000
9,2023-12-10T12:19:00.000000Z,UW,LON,18.14370355595552,10.024999999999999,80.7,46.750599,-121.809601,853.0,3.893731783593877,115.0,1433,Mt_Rainier,0000
10,2023-12-10T12:19:00.000000Z,UW,RCM,30.550353379704333,7.649999999999999,56.099999999999994,46.83564,-121.732979,3085.0,3.9968521924993983,102.85,578,Mt_Rainier,0000
11,2023-12-10T12:19:00.000000Z,UW,RCS,25.346498799732114,8.325,24.549999999999997,46.870831,-121.732307,2877.0,4.509952489073646,99.375,271,Mt_Rainier,0000
12,2023-12-10T12:19:00.000000Z,UW,RER,20.72178315911865,9.8,29.5,46.81905,-121.842133,1756.0,3.5693098093642215,108.125,577,Mt_Rainier,0000
