PANH,TREE,PINE,JUN,TOPL,RCS,HTW,HUO,MEW,WPW,SEP,CHMT,BRKS,LKVW,SWNB,BURN,PR05,GRUT,MULN,SNI,WIW,CTR,RAFT,JCW,CARB,OBSR,STAR,NN21,RED,TCBU,B941,GBL,LSON,CAVE,HOA,BRSP,MINN,OOW2,VOIT,NNVM,ETW,FMW,RSW,B204,LO2,BRAN,TBM,IZEE,EDM,B202,FRIS,NED,HOOD,CMM,ASR,SHRK,SVIC,GLK,IRO,ASBU,REM,HDW,VFP,SPN5,SWF2,YACT,CIHL,BLOW,WRW,VDEB,WIFE,NN19,DAVN,RPW,RATT,SOS,UMAT,FL2,PALM,PARA,KWBU,BERY,TOLT,NN17,YEL,OPCH,PIE,WRD,H2E,ELK,B020,RER,NN32,TDL,GPW,C06D,MBW,LVP,NCO,BLIS,RUSH,OBC,MJ2,MTM,EPH2,SIFT,NEL,CPCO,HUSB,DFAZ,SWFL,VTH,STD,LNO,CLCV,TRW,RVC,GHW,LOC,RPW2,SAXON,MDW,BKC,B203,PRLK,LON,WESG,CRBN,NORM,VBE,FHE,HSR,SHUK,WISH,GUL,MIDE,KEB,KENT,BEER,BHAM,KOS,SEND,OSD,RNO,RCM,VLL,STOR,B926,VALT,LCW,RVW,DONK,TWW,GBB,WA2,EPH,NOB,G05D,TDH,MOON,YOCR,SUG,NAC,BVW,JRO,OT3,SHW,TMBU,SNB,OZB,TIMB,B201,HIYU,CDF,GSM,F05D,NATH,LOO,PR04,UNFR,WPEQ,PR01,PCMD
4.145858926358707,,,,,4.019268120433982,,,,,,,,,,,,,,,,,,,,3.5367805548573483,3.6784785108084477,,,,,,,,,,,,3.356894870351662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5455914094083187,,,,,,,,,,,,4.0210851311501665,,,,,,,,,,,,,,3.9478240865452783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8721842193948848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,4.786931786577439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.38131044801373,,,,,,,,,,,,5.413186834499079,,,,4.431170269924691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.038278670929316,,,,,,,,,,,,,4.852400463887323,,,,,3.5402844670586155,,,,,,,,,,,,,,,,
,,,,,4.095901611243477,,,,,,,,,,,4.836368404452146,,,,,,,,,3.910912543466091,3.9729324701620796,,,,,,,,,,,,3.3670585544162264,,,4.277292838289083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9462197150949434,,,,,,,,,,,,3.4749082108108453,,,,,,,,,3.8207021260315064,,,,,4.078635913141246,,,,,,,,,,,,,,,,,,,,5.033667194616237,,,,,,,,,,,,,,,,,,,3.854544314786953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.415199449434616,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.596477959616289,,,4.746855079327106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.803243707686634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.591486666431794,,,,,,,,,,,,,,,,,,,,,,
,,,,,3.974551512238498,,,,,,,,,,,,,,,,,,,,3.7725297393308512,4.259644681421854,,,,,,,,,,,,,,,4.044074530856875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.186952362295269,,,,,,,,,,,,3.3906960710198284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7510623936013787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5005376342114123,,,4.273392657019778,,,,,,,,,,,,,,,,,4.213270089102507,,,3.7518621624306547,,,,,,,,,,,,,,,,,,,,,,,5.0289925818106065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9167573410480823,,4.4664247724409645,,,,,,,,,,3.710334189694991,,3.563796294055021,,,,,,,,,,
,,,,,,,,,,5.126945028570687,,,,,,,,,,,,,,,,,,,,,,,,4.0985657315533865,,,,,,,,,,,,,,5.309040461705047,,,,,,,,,,,,,,,,5.0602797468791945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.021740389521594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1327149505307395,,,,,,,,,,,,,4.925268934483477,,,,,4.08573689982312,,,,,,,,,,,4.499803487617133,,4.804966996446472,,,
,,,,,,,,,,4.928229422546533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.742207131707025,,,,,,,,,,,,,,,,,,,,,,,,,,,6.437751194328819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.537002346651687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.038811008523385,,,,,4.182712413753863,,,,,,,,,,,4.729488527414596,,,,,
,,,,,5.405006245174529,,,,,,,,,,,5.3777795940020585,,,,,,,,,4.179980976771949,4.248620561856968,,,,,,,,,,,,3.5448667615742377,,,4.429120797567504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9560392104086186,,,,,,4.66169378599319,,,,,,5.2201279848287285,,,,,,,,,,,,,,4.68381787561631,,,,,,,,,,,,,,,,,,,,5.232654128181812,,,,,,,,,,,,,,,,,,,4.164140603705629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4.6733726059284635,,,,,,,,,,,4.552393619562986,,,,,,,,,3.9493693283621916,3.5558149283992755,,,,,,,,,,,,3.205580956873271,,,4.176535300577116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1852422407141945,,,,,,4.113323411908858,,,,,,4.4262962811071755,,,,,,,,,4.54257856652293,,,,,3.796182878448641,,,,,,,,,,,,,,,,,,,,4.475270808971586,,3.751289062241741,,,,,,,,,,,,,,,,,3.7060612822016132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
