BURN,STOR,SIFT,PIE,RPW,TMBU,IRO,B202,SNI,WISH,PALM,RER,YACT,RVC,IZEE,PINE,VTH,SEP,B941,ELK,JRO,SEND,TRW,WPW,STAR,RNO,RED,WIFE,SUG,HDW,RUSH,ASBU,TOLT,OSD,OZB,BVW,KOS,GPW,CTR,SAXON,OBC,TREE,EPH2,NORM,VOIT,ASR,DAVN,CLCV,NCO,NN32,ETW,SHRK,BLOW,TBM,MBW,BHAM,WRW,FHE,RPW2,BRKS,CDF,WIW,YOCR,MOON,RAFT,G05D,OPCH,NATH,TCBU,SOS,GBL,VFP,B926,VALT,MDW,REM,DFAZ,GLK,B204,BERY,LON,SHUK,BRSP,NED,RCS,STD,SWFL,EDM,NN17,MULN,PANH,B020,SHW,MEW,TDH,TIMB,DONK,BKC,SWNB,JUN,B201,HUSB,PRLK,KWBU,WA2,BLIS,JCW,LKVW,KEB,LVP,RSW,GRUT,HSR,HIYU,OOW2,BEER,CMM,YEL,HOOD,NN19,NAC,RATT,LSON,SNB,CRBN,TOPL,NOB,VLL,RVW,EPH,CIHL,KENT,MINN,CAVE,HOA,NNVM,PARA,NEL,RCM,SPN5,VDEB,FL2,VBE,SWF2,OBSR,GBB,MTM,MIDE,F05D,BRAN,B203,HUO,MJ2,TDL,C06D,CHMT,FRIS,SVIC,PR05,LOC,UMAT,GSM,NN21,H2E,GUL,WESG,CARB,OT3,LNO,LCW,TWW,LO2,CPCO,FMW,GHW,WRD,HTW,LOO,UNFR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.931336682596232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0992549909090075,,,,,,,,,,,,6.124607052659355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.862721565825259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2487673943420745,
,,,,,,,,,,,,,,,,,4.874389792543468,,,,,,,,,,,5.133436467805276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.798009588891499,,4.453750250979117,,,,,,,,,,4.990945037077094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.509402718334051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.381780391262233,
,,,,,,,,,,,,,,,,,5.8529640803653,,,,,,,,,,,5.5375341315004185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.795343075030415,,,,,,,,,,,,6.581543327775317,,5.8298507818044865,,,,,5.076283432881059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.824508937423158,,,,,,,,,5.744825790835872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5.579166142417303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.257494859643255,,,,,,,,,,,,,,,,,,,4.050428729910988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11792145770357,,,,,,,,,4.669571448135966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.418024452932615,
,,,,,,,,,,,,,,,,,4.435136669963426,,,,,,,,,,,4.551932132308661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.511379126454116,,3.947822813472514,,,,,,,,,,4.272303472531639,,3.9779096456696283,,,,,3.4178027230093413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.272949431069949,,,,,,,4.340527814687442,,3.6810147553015646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.483234254108639,
,,,,,,,,,,,,,,,,,4.840327220442403,,,,,,,,,,,4.905408158228835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.622463613578982,,4.04418146633578,,,,,,,,,,,,4.069089941929641,,,,,3.253012827779244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.150079604920706,,,,,,,4.400691702963554,,4.098256772705369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.747597887629681,3.6788661395734867
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.774292848773454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.388827918986148,,3.978258704107189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.403611829816729,,,,,,,,,3.7146860464554727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.166095954572035,
,,,,,,,,,,,,,,,,,4.617385478720143,,,,,,,,,,,4.847854041465359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.234339196704741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.239799052833389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6.318261446791261,,,,,,,,,,,6.123370516404634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.896955257805999,,6.1212239607221175,,,,,,,,,,6.426113820450383,,6.543817778954401,,,,,5.572856002102334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.41350596092137,
,,,,,,,,,,,,,,,,,5.016221326166586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.036770405741863,,,,,,,,,,,,,,,,,,,3.67943232954812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4633203753339945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
