HSR,KOS,TOLT,HTW,NN17,OBC,GLK,WRD,NNVM,RAFT,WRW,LNO,LO2,SNB,TMBU,BHAM,KWBU,SNI,CAVE,TDL,BERY,TWW,PALM,SHUK,WESG,SPN5,VFP,OPCH,VALT,NORM,TRW,PIE,MINN,TREE,YEL,BRSP,PR05,BEER,RCS,MTM,FMW,RATT,RPW2,GPW,HUSB,LVP,B204,EDM,NN32,MEW,YOCR,ASBU,CIHL,CDF,SWFL,SEND,RUSH,BRAN,YACT,MJ2,NCO,BLOW,NN21,NAC,TBM,GBB,TCBU,B203,ASR,RVC,MOON,LSON,NOB,CLCV,RSW,H2E,LON,GHW,HIYU,SHW,ELK,BKC,OT3,ETW,UMAT,KENT,IRO,BVW,DAVN,STAR,SHRK,HUO,CARB,NATH,BRKS,MBW,SWNB,EPH2,EPH,NN19,REM,SVIC,CRBN,JUN,IZEE,WA2,MDW,B202,WPW,B926,VTH,SEP,LOC,RED,STOR,JRO,B941,RVW,FRIS,SUG,RER,SOS,LCW,DFAZ,VOIT,CPCO,KEB,PINE,CMM,RNO,OZB,GSM,MULN,WIFE,WISH,FL2,JCW,VDEB,TIMB,SAXON,B020,FHE,BLIS,NED,HOA,PRLK,RCM,BURN,TOPL,WIW,GBL,DONK,HDW,G05D,LKVW,TDH,OBSR,PARA,SWF2,NEL,STD,VBE,OOW2,CHMT,F05D,PANH,GRUT,HOOD,C06D,RPW,B201,MIDE,GUL,CTR,VLL,SIFT,OSD
,,,,,,,,,,,,,,,,,,,,,,6.0233468088527475,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.606444948707232,,,,,,,,,,,,,,,,,,,,,5.559890718973044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.82398091907225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,5.756946872256371,,,,,,,,,,,,,5.038427251135622,,,,,,,,,,,,,,,6.283833631261594,,,,,,,,,,,,,,,,,,,,,4.931522219101673,,,,,,,4.668942258449342,,,,,,,,,,,,4.526781006507548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.129024232571735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,4.642330097007463,,,,,,,,,,,,,4.614088333317207,,,,,,,,,,,,,,,4.197576708390383,,,,,,,,,,,,,,,,,,,,,4.92642622237478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.562016100051903,,,,,,,,,,,,,,,,,,,,,,,5.267501827747201,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,4.9135784184824445,,,,,,,,,,,,,4.176510474803505,,,,,,,,,,,,,,,4.1039504409889735,,,,,,,,,,,,,,,,,,,,,4.003683975782177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.626790107890977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,4.625859266445165,,,,,,,,,,,,,4.760714177826608,,,,,,,,,,,,,,,4.385069142932733,,,,,,,,,,,,,,,,,,,,,4.076006984132841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.845661177287679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,5.163776313661159,,,,,,,,,,,,,4.870873024043445,,,,,,,,,,,,,,,5.448318706864211,,,,,,,,,,,,,,,,,,,,,4.633091771614409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.973285816029727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,5.620497938841169,,,,,,,,,,,,,5.295781393643174,,,,,,,,,,,,,,,5.96793617592704,,,,,,,,,,,,,,,,,,,,,4.936321478951454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.127865866658694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,5.53396019567658,,,,,,,,,,,,,4.106618813626678,,,,,,,,,,,,,,,5.2465144658636484,,,,,,,,,,,,,,,,,,,,,4.334035602386692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.362201657536273,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,5.1734086508390265,,,,,,,,,,,,,4.6522080728220265,,,,,,,,,,,,,,,5.049370258691367,,,,,,,,,,,,,,,,,,,,,4.306358828254651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.763786850923958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.08575693608759,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,5.828912184725147,,,,,,,,,,,,,4.627430234106023,,,,,,,,,,,,,,,5.145681427906213,,,,,,,,,,,,,,,,,,,,,5.020690706142032,,,,,,,5.26796041819152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5095342247900145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.039215108195158,,,,,,,,,
