event_ID,location,location_uncertainty(m),origin_time,direction(degrees),direction_sharpness(degrees)params_std_deviation,velocity(m/s),number_of_stationsdirection_snr(degrees),direction_sharpness(degrees),direction_snr(degrees),duration,number_of_stations,params_std_deviation
['867548'],"['46.18911760617305,-122.19203246958193']",[0],"[UTCDateTime(2003, 4, 29, 6, 6, 41, 100000)]",[17.9497831508837],,[138.4574192701204],,[20.418840561321996],[15.322402389968584],[6.8125],[4],"['0.454745675,0.968647307,0.412937222']"
['867518'],"['46.180110162231614,-122.17909583859085']",[1000],"[UTCDateTime(2003, 7, 5, 23, 15, 3)]",[37.11231619507886],,[80.41646187909296],,[37.11231619507742],[37.112316195080645],[13.825000000000003],[4],"['inf,inf,inf']"
['867183'],"['46.19811403676282,-122.19201767753954']",[0],"[UTCDateTime(2003, 7, 4, 22, 15, 24, 999900)]",[27.09002863183372],,[72.19405744830676],,[27.09002863183366],[27.09002863183369],[8.23729999999999],[4],"['inf,inf,inf']"
['867163'],"['46.19809056202087,-122.16610639885269']",[2000],"[UTCDateTime(2003, 7, 4, 12, 7, 18, 174900)]",[37.746494890945065],,[167.6053490679313],,[42.56522988367455],[42.171844982823224],[14.833133333333329],[9],"['0.409987057,0.418556987,0.260397928']"
['867058'],"['46.189106604716805,-122.17907894062105']",[1000],"[UTCDateTime(2003, 6, 12, 9, 18, 16, 950000)]",[13.874651994870952],,[61.51349059168587],,[13.690248247636635],[13.321086854999855],[36.41249999999999],[4],"['0.173650295,0.708241896,0.129338928']"
['866863'],"['46.20711045312764,-122.19200287918224']",[1000],"[UTCDateTime(2003, 5, 14, 18, 21, 41)]",[73.69950168557244],,[123.42298071578581],,[73.6995016855724],[73.69950168557247],[6.809999999999997],[5],"['inf,inf,inf']"
['866788'],"['46.19811403676282,-122.19201767753954']",[1000],"[UTCDateTime(2003, 5, 14, 10, 9, 40)]",[45.70572012746364],,[58.41208504698691],,[45.818913162356765],[45.26541280234827],[10.909999999999997],[5],"['0.007641915,0.030247555,0.005462903']"
['866753'],"['46.19811403676282,-122.19201767753954']",[0],"[UTCDateTime(2003, 5, 14, 8, 42, 20)]",[41.00718718115162],,[135.35566574212706],,[41.007187181151615],[41.007187181151615],[5.987500000000004],[4],"['inf,inf,inf']"
['866703'],"['46.19811403676282,-122.19201767753954']",[0],"[UTCDateTime(2003, 4, 26, 2, 40, 13, 3700)]",[59.68238421105303],,[372.83869612411786],,[63.701181736834975],[58.03193118457224],[10.307400000000001],[5],"['2.65240859,1.169119402,1.84575187']"
['866658'],"['46.189106604716805,-122.17907894062105']",[0],"[UTCDateTime(2003, 6, 11, 4, 21, 32, 50000)]",[19.466922150844844],,[33.01022735278603],,[16.730751003964674],[7.283730720898785],[16.749999999999986],[4],"['0.468015735,3.105914235,0.33686128']"
['866533'],"['46.19811403676282,-122.19201767753954']",[0],"[UTCDateTime(2003, 6, 10, 12, 57, 16, 1400)]",[25.477820288272767],,[90.51418079065513],,[28.59796435863643],[27.081464913048265],[8.352800000000013],[5],"['0.105763433,0.263165282,0.074571454']"
['866158'],"['46.1981030329759,-122.17906203543858']",[0],"[UTCDateTime(2003, 6, 9, 9, 36, 32, 99900)]",[11.969449863488922],,[71.16713888070257],,[11.969449863488947],[11.969449863488974],[8.349799999999988],[4],"['inf,inf,inf']"
['866133'],"['46.19811403676282,-122.19201767753954']",[1000],"[UTCDateTime(2003, 6, 9, 5, 34, 58, 849900)]",[77.32936568943734],,[199.42885229055332],,[77.32936568943734],[77.32936568943735],[10.187299999999993],[4],"['inf,inf,inf']"
['866123'],"['46.18012116135813,-122.19204725531323']",[0],"[UTCDateTime(2003, 7, 3, 0, 46, 25, 100)]",[57.40919629485536],,[58.62134059973103],,[57.86129932959332],[59.244516338032504],[11.887700000000002],[4],"['0.147728877,0.188293989,0.097519308']"
['865973'],"['46.20709944700913,-122.17904512303906']",[0],"[UTCDateTime(2003, 7, 2, 23, 21, 16, 375000)]",[3.060353873800637],,[125.56487353250122],,[3.06035387380059],[3.060353873800606],[24.187499999999986],[4],"['inf,inf,inf']"
['865823'],"['46.18909413640317,-122.16612541717174']",[1000],"[UTCDateTime(2003, 7, 2, 17, 53, 4, 874900)]",[0.016561485087764605],,[159.68439785288427],,[7.261260542239638],[1.8543684861283827],[25.36229999999999],[4],"['0.468753191,0.593102199,0.36451043']"
['865763'],"['46.189106604716805,-122.17907894062105']",[1000],"[UTCDateTime(2003, 7, 2, 11, 36, 33, 999900)]",[48.482607348601796],,[64.4520689936621],,[46.294226090537585],[49.85347774122169],[23.3598],[5],"['0.215836882,0.469528665,0.114546513']"
['865508'],"['46.189106604716805,-122.17907894062105']",[0],"[UTCDateTime(2003, 7, 1, 21, 34, 7, 575000)]",[2.3222806084055674],,[106.93484187668597],,[1.1180761216254467],[2.175536414661366],[19.837500000000006],[4],"['0.056677511,0.143760212,0.045016972']"
['865323'],"['46.18911760617305,-122.19203246958193']",[0],"[UTCDateTime(2003, 7, 1, 16, 25, 44, 999900)]",[18.884212026977043],,[217.70330314888247],,[16.507196145707056],[14.475756814315845],[23.9098],[5],"['0.407330796,0.41250391,0.297880218']"
['865188'],"['46.1981030329759,-122.17906203543858']",[0],"[UTCDateTime(2003, 7, 1, 8, 54, 41, 750300)]",[16.190976999412687],,[117.40087994952886],,[16.190976999412708],[16.190976999412705],[49.5881],[4],"['inf,inf,inf']"
