event_ID,location_latitude,location_longitude,location_uncertainty(m),origin_time,direction(degrees),direction_sharpness(degrees),direction_snr(degrees),duration(sec),params_std_deviation,velocity(m/s),number_of_stations
3179093,46.23050106910503,-122.19196437387207,600.0,2021-12-19T07:31:04.175000Z,238.2426069271916,229.6734686418323,228.21356191913281,8.85,"0.962175855,0.797681016,0.458989166",118.38433392371404,5
3179088,46.21970743786794,-122.19457429493154,1000.0,2021-12-19T07:26:45.000000Z,80.6244190078162,260.6885924440077,133.83113414171336,22.407142857142862,"0.402974647,5.761689529,0.194689341",8.52560786321373,7
3177563,46.20711820143677,-122.20236908760664,2100.0,2021-12-07T09:42:15.775000Z,78.1127931045567,292.09305646790995,-384.74921114913894,17.38125000000001,"0.328282625,5.911754621,0.237452278",9.897641740651538,8
3177373,46.19992285819547,-122.20497078803693,1400.0,2021-12-06T19:05:48.475000Z,118.87144233268712,119.97949200763719,118.29940277749635,12.075000000000008,"0.307532446,0.169202472,0.151420456",227.712541415179,6
3177368,46.22600687452243,-122.19715666288072,3300.0,2021-12-06T15:07:25.775000Z,57.700978039116364,59.010993825235666,68.3672117662779,4.640909090909097,"0.24865042,0.39061264,0.176271873",125.04415159833285,11
3177363,46.23951578445861,-122.2191768534419,5600.0,2021-12-06T12:54:11.475000Z,90.34072137543134,96.53489677888034,94.60692357542241,9.331818181818182,"0.318972351,0.896419303,0.30867165",117.6222519481046,11
3176848,46.21880262451852,-122.18809547960753,5200.0,2021-11-25T03:43:47.575000Z,63.45210146648325,63.452101466483235,63.452101466483235,7.383333333333326,"inf,inf,inf",144.29868135878925,6
3175703,46.20890441484388,-122.18552082857589,600.0,2021-11-07T07:06:01.600000Z,113.43520168131101,113.43520168131101,113.435201681311,42.449999999999996,"inf,inf,inf",152.3442588268601,4
3173148,46.21251324950264,-122.1984735114906,1700.0,2021-10-14T01:26:05.800000Z,135.45530140133968,123.45840536270387,101.9606121641423,25.618750000000002,"0.27562716,1.916557614,0.212071524",25.727568394809953,8
3175953,46.203518718842076,-122.20107863948922,1000.0,2021-11-14T06:17:08.000000Z,106.14338990622143,106.14338990622143,106.14338990622142,19.924999999999983,"inf,inf,inf",256.75017305059055,4
3175648,46.20531612353704,-122.19848450784401,1000.0,2021-11-12T17:15:53.000000Z,127.66218799565343,126.46436507124659,127.71287228035303,18.825,"0.191860538,0.126721479,0.116539145",226.4870372052936,6
3175668,46.19451014818719,-122.18554619609958,1500.0,2021-11-12T10:50:09.000000Z,65.05395569934575,71.70385235347938,85.95959926719615,23.516666666666662,"0.42277353,1.238329522,0.378886343",121.5574898148969,6
3175683,46.19360939771478,-122.18425232247594,500.0,2021-11-12T08:40:29.325000Z,91.50215099207762,60.5262202033739,91.36428913363514,12.425000000000004,"0.425932512,0.735081915,0.338570834",141.89923926095045,8
3175508,46.21429419026897,-122.17643969895538,600.0,2021-11-11T21:24:32.350000Z,532.7364446128582,532.7364446128582,532.7364446128581,35.629999999999995,"inf,inf,inf",-2457.2240182406654,5
3175498,46.21702025555884,-122.21142672648391,3000.0,2021-11-11T18:51:23.400000Z,318.50328552603565,302.47940190735414,-17.088200204348343,3.7888888888888914,"0.281751444,1.22986327,0.26973371",48.504137106153564,9
