event_ID,location_latitude,location_longitude,location_uncertainty(m),origin_time,direction(degrees),direction_sharpness(degrees),direction_snr(degrees),duration(sec),params_std_deviation,velocity(m/s),number_of_stations
3179368,46.85807348491391,-121.77837616150241,58000,2021-12-22T04:47:34.075000Z,177.3601741510872,312.5115656330588,176.5259338005431,25.149999999999988,"0.291803418,1.944002982,0.230200717",45.19482988171252,8
3179093,46.23049898413111,-122.18937172208724,7000,2021-12-19T07:31:04.175000Z,-202.4253716524027,505.3247983957351,137.4188175999242,8.85,"0.206644173,1.467811106,0.201789749",59.6994819599152,5
3179088,46.21970541214091,-122.1919821508657,11000,2021-12-19T07:26:45.000000Z,97.73334937162493,112.78831063431909,113.7368893966235,22.407142857142862,"0.256038082,1.667656686,0.134776134",26.16576444419977,7
3178938,46.839140927657695,-121.74827671424264,36000,2021-12-17T16:47:07.000000Z,-13.480933684778574,-39.83437494946761,291.04949210855,18.233333333333334,"0.402479871,1.182150269,0.240952305",74.69136571055662,6
3177563,46.20532070922679,-122.2049631774498,18000,2021-12-07T09:42:15.775000Z,88.96376066957386,90.63459393177692,59.344674647371114,17.38125000000001,"0.209694594,0.946468032,0.150203815",42.67498666393308,8
