,Volcano_Name,Network,Station,Latitude,Longitude,Elevation
50,Mt_Rainier,UW,STAR,46.850849,-121.792953,3365.0
51,Mt_Rainier,UW,STOR,47.188099,-121.9888,266.4
52,Mt_Rainier,UW,TEHA,47.12795,-122.1963,211.7
53,Mt_Rainier,UW,WCR,46.61396,-121.767754,1200.0
54,Mt_Rainier,UW,WI2,47.136108,-121.382309,1528.0
55,Mt_Rainier,UW,WPEQ,46.613279,-121.404485,1807.0
56,Mt_Rainier,UW,WPS,46.625,-121.388031,1789.0
57,Mt_Rainier,UW,WPW,46.698639,-121.537338,1280.0
58,Mt_Rainier,UW,XTL,46.929779,-121.494476,1665.0
59,Mt_Adams,CC,AWST,46.14465,-121.77136,1159.0
60,Mt_Adams,UW,ASR,46.152592,-121.601639,1357.0
61,Mt_Adams,UW,CDF,46.176689,-122.040962,488.0
62,Mt_Adams,UW,FOR,45.97039,-121.759529,1152.0
63,Mt_Adams,UW,GLK,46.557499,-121.610733,1305.0
64,Mt_Adams,UW,GUL,45.924011,-121.596748,1189.0
65,Mt_Adams,UW,KREP,45.8852,-121.4597,472.0
66,Mt_Adams,UW,MAS,46.144562,-121.593063,1370.0
67,Mt_Adams,UW,MUD,46.176689,-122.040962,488.0
68,Mt_Adams,UW,RAN,46.408169,-121.864807,1620.0
69,Mt_Adams,UW,RED1,45.93684,-121.820862,1510.0
70,Mt_Adams,UW,SBL,46.340279,-122.045921,1665.0
71,Mt_Adams,UW,SCB,46.208,-122.055038,1097.0
72,Mt_Adams,UW,TLK,45.962059,-121.585358,756.0
73,Mt_Adams,UW,TRO,45.943829,-121.591003,829.0
74,Mt_Adams,UW,ULB,46.567261,-121.231689,1464.0
75,Mt_Adams,UW,WPEQ,46.613279,-121.404485,1807.0
76,Mt_Adams,UW,WPS,46.625,-121.388031,1789.0
77,Mt_Baker,UW,BHAM,48.78724,-122.41752,116.5
78,Mt_Baker,UW,BLS,48.572498,-121.666672,1341.0
79,Mt_Baker,UW,CMW,48.423519,-122.120262,1190.0
80,Mt_Baker,UW,DMNG,48.82545,-122.21451,62.8
81,Mt_Baker,UW,DONK,48.42384,-122.15673,892.8
82,Mt_Baker,UW,LARL,48.85949,-122.48445,26.8
83,Mt_Baker,UW,LYND,48.95967,-122.41767,36.0
84,Mt_Baker,UW,LYW,48.535172,-122.102928,107.0
85,Mt_Baker,UW,MB2,48.78384,-121.900932,1676.0
86,Mt_Baker,UW,MBKE,48.916377,-122.14175,135.0
87,Mt_Baker,UW,MBW,48.78407,-121.90145,1676.0
88,Mt_Baker,UW,MJO1,48.582323,-121.938001,757.1
89,Mt_Baker,UW,MRBL,48.518299,-121.484497,75.0
90,Mt_Baker,UW,MULN,48.53544,-122.06441,101.7
91,Mt_Baker,UW,PASS,48.998299,-122.085197,174.3
92,Mt_Baker,UW,PLBD,48.547519,-121.744412,223.0
93,Mt_Baker,UW,PUBD,48.652599,-121.688091,325.4
94,Mt_Baker,UW,RPW,48.44817,-121.514847,850.0
95,Mt_Baker,UW,RPW2,48.44493,-121.5265,683.0
96,Mt_Baker,UW,SAXON,48.683288,-122.160842,110.8
97,Mt_Baker,UW,SBES,48.768139,-122.416328,119.0
98,Mt_Baker,UW,SDRO,48.508714,-122.237726,17.67
99,Mt_Baker,UW,SHUK,48.85284,-121.67695,1516.0
100,Mt_Baker,UW,SMSH,48.58641,-122.22551,97.3
101,Mt_Baker,UW,SUMAS,48.99333,-122.2589,12.1
102,Mt_St_Helens,CC,AHAB,46.19479,-122.187027,2298.0
103,Mt_St_Helens,CC,AWST,46.14465,-121.77136,1159.0
104,Mt_St_Helens,CC,BLIS,46.197472,-122.186569,2116.0
105,Mt_St_Helens,CC,GUAC,46.219396,-122.192573,1632.0
106,Mt_St_Helens,CC,HOA,46.241651,-122.192163,1151.0
107,Mt_St_Helens,CC,JRO,46.27527,-122.21826,1219.0
108,Mt_St_Helens,CC,LOO,46.22375,-122.18439,1521.35
109,Mt_St_Helens,CC,MAR,46.285469,-122.296875,679.27
110,Mt_St_Helens,CC,MIBL,46.197319,-122.186913,2132.0
111,Mt_St_Helens,CC,MIDE,46.19775,-122.187439,2132.0
112,Mt_St_Helens,CC,NED,46.200249,-122.185493,2060.0
113,Mt_St_Helens,CC,NFT,46.26925,-122.25535,830.0
114,Mt_St_Helens,CC,NMSF,46.215474,-122.244743,1218.5
115,Mt_St_Helens,CC,RAFT,46.195679,-122.186317,2132.0
116,Mt_St_Helens,CC,REM,46.2002,-122.1855,1905.44
117,Mt_St_Helens,CC,SEND,46.193501,-122.185432,0.0
118,Mt_St_Helens,CC,SEP,46.20027,-122.19104,2114.0
119,Mt_St_Helens,CC,SMSF,46.207792,-122.250805,1116.5
120,Mt_St_Helens,CC,SPN5,46.194698,-122.18837,2263.0
121,Mt_St_Helens,CC,STD,46.236828,-122.224084,1259.0
122,Mt_St_Helens,CC,SUG,46.215549,-122.176262,1859.0
123,Mt_St_Helens,CC,SWF2,46.178288,-122.216544,1538.0
124,Mt_St_Helens,CC,SWFL,46.18867,-122.20203,2268.0
125,Mt_St_Helens,CC,UNFR,46.27261,-122.2921,907.75
126,Mt_St_Helens,CC,USFR,46.215283,-122.2327,1341.75
127,Mt_St_Helens,CC,VALT,46.214218,-122.189247,1681.0
128,Mt_St_Helens,CC,WESG,46.195831,-122.193748,2130.0
129,Mt_St_Helens,UW,APE,46.099461,-122.207497,579.0
130,Mt_St_Helens,UW,ASH,46.200668,-122.185471,1900.0
131,Mt_St_Helens,UW,ASR,46.152592,-121.601639,1357.0
132,Mt_St_Helens,UW,CCFR,45.83798,-122.55889,118.4
133,Mt_St_Helens,UW,CDF,46.176689,-122.040962,488.0
134,Mt_St_Helens,UW,CINE,46.5566,-122.5673,203.4
135,Mt_St_Helens,UW,CMM,46.490829,-122.013321,305.0
136,Mt_St_Helens,UW,COW,46.490829,-122.013321,305.0
137,Mt_St_Helens,UW,CWC,46.279171,-122.278,683.0
138,Mt_St_Helens,UW,DIG,46.21233,-122.187042,1800.0
139,Mt_St_Helens,UW,DIO,46.200668,-122.190369,2102.0
140,Mt_St_Helens,UW,DOG,46.206001,-122.176208,2317.0
141,Mt_St_Helens,UW,EDM,46.19717,-122.15121,1611.0
142,Mt_St_Helens,UW,ELK,46.305389,-122.342049,1270.0
143,Mt_St_Helens,UW,FL2,46.19622,-122.351486,1378.0
144,Mt_St_Helens,UW,FLT,46.189079,-122.35746,1387.0
145,Mt_St_Helens,UW,FOR,45.97039,-121.759529,1152.0
146,Mt_St_Helens,UW,GOA,46.197189,-122.185097,1900.0
147,Mt_St_Helens,UW,HSR,46.17428,-122.18065,1720.0
148,Mt_St_Helens,UW,JLF,46.1465,-122.154213,1049.0
149,Mt_St_Helens,UW,JUN,46.14706,-122.152428,1049.0
150,Mt_St_Helens,UW,KOS,46.462799,-122.196022,610.0
151,Mt_St_Helens,UW,LVP,46.065948,-122.401932,1130.0
152,Mt_St_Helens,UW,MAS,46.144562,-121.593063,1370.0
153,Mt_St_Helens,UW,MTM,46.02533,-122.212868,1121.0
154,Mt_St_Helens,UW,MUD,46.176689,-122.040962,488.0
155,Mt_St_Helens,UW,NSP,46.200939,-122.188148,2062.0
156,Mt_St_Helens,UW,NWD,46.209171,-122.200706,2195.0
157,Mt_St_Helens,UW,PUPY,46.49542,-122.14613,816.3
158,Mt_St_Helens,UW,RAN,46.408169,-121.864807,1620.0
159,Mt_St_Helens,UW,RED1,45.93684,-121.820862,1510.0
160,Mt_St_Helens,UW,REM,46.199001,-122.185371,2102.0
161,Mt_St_Helens,UW,ROA,46.204029,-122.18985,1790.0
162,Mt_St_Helens,UW,RVW,46.14975,-122.742996,504.0
163,Mt_St_Helens,UW,RVW2,46.152752,-122.74122,573.9
164,Mt_St_Helens,UW,SBL,46.340279,-122.045921,1665.0
165,Mt_St_Helens,UW,SCB,46.208,-122.055038,1097.0
166,Mt_St_Helens,UW,SEP,46.200211,-122.190598,2116.0
167,Mt_St_Helens,UW,SFT,46.211498,-122.357552,783.0
168,Mt_St_Helens,UW,SH2,46.19347,-122.236351,1425.0
169,Mt_St_Helens,UW,SHW,46.19347,-122.236351,1425.0
170,Mt_St_Helens,UW,SOA,46.200111,-122.184258,1900.0
