SIFT,SNB,STD,B020,ELK,GLK,SHUK,LOC,PRLK,GUL,YACT,NOB,GPW,VOIT,OOW2,IZEE,MJ2,RPW,HUSB,RATT,CTR,B204,HSR,STAR,FRIS,JUN,UMAT,SEND,TIMB,RNO,TDH,MOON,RER,B203,HTW,GHW,TOLT,CMM,WESG,LSON,HOA,HOOD,GSM,RVW,BVW,VFP,IRO,SOS,MDW,SHRK,WRW,TDL,TREE,NNVM,FMW,JCW,OZB,FHE,TBM,RAFT,NN17,OSD,EPH,LO2,MIDE,KOS,EDM,B202,BHAM,HDW,OBSR,RUSH,RPW2,GBB,KWBU,CIHL,NN32,CARB,NEL,B941,WISH,NAC,GRUT,LNO,RSW,VALT,KENT,PR05,RED,OT3,MEW,JRO,STOR,CPCO,CAVE,NORM,VLL,LCW,RCM,CRBN,YOCR,BLIS,HUO,GBL,H2E,BEER,NATH,EPH2,MTM,BRKS,BRAN,KEB,LVP,RCS,PINE,TMBU,REM,SVIC,PANH,RVC,SWFL,SEP,ASBU,MINN,WIW,TOPL,NED,SNI,DONK,TCBU,DAVN,OPCH,LKVW,BERY,B926,WRD,PARA,C06D,TWW,G05D,YEL,B201,VBE,VDEB,WPW,CDF,PIE,F05D,BKC,FL2,PALM,SUG,TRW,HIYU,MULN,CLCV,ETW,CHMT,VTH,SWF2,BLOW,MBW,SAXON,SPN5,OBC,NCO,NN21,SHW,WIFE,BURN,SWNB,NN19,DFAZ,ASR,LON,WA2,BRSP,PR04,WPEQ,GTWY,KAUT,PR01,PR03
3.8794379342968,,,,,,,,,,,,,3.266372339530688,,,,,,,,,,3.761659908332699,,,,,,,,,5.309778961934231,,,,,,,,,,,,,,,,,,,,,,4.276311574371337,,,,,,,,,,,,,,,,4.1623607296219065,4.658718505842627,,,,,,3.8899749851963006,,,,,,,,,,4.778233926908401,,,,,,,,,,,3.7487630369725937,3.9682391816192637,,,,,,,,,,,,,,5.287990419528523,,,,,,,,,,,,,,,,,,4.2039831134881505,,,,,3.2253625460444058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.03175903028847,,,4.866103648481902,5.831021390069063,,,,
3.088348742747351,,,,,,,,,,,,,2.736720716049772,,,,,,,,,,3.9578043422089584,,,,,,,,,3.4233675847308067,,,,,,,,,,,,,,,,,,,,,,3.8447400134048273,,,,,,,,,,,,,,,,3.5450487370547354,3.4915195987778302,,,,,,3.7931745519610462,,,,,,,,,,3.60380368559104,,,,,,,,,,,3.719703032152287,4.172435795431929,,,,,,,,,,,,,,4.033909195208305,,,,,3.7083937784464234,,,,,,,,,,,,,3.2592710824618876,,,,,3.0079107089603343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9848087737100366,,,4.745414486064545,3.634616607188934,4.407390282175519,4.6103854982591965,3.7212815612221184,3.7272675443916428
3.990849885372959,,,,,,,,,,,,,3.4484968860520744,,,,,,,,,,3.8725739378352926,,,,,,,,,4.683456489262119,,,,,,,,,,,,,,,,,,,,,,4.321169461303901,,,,,,,,,,,,,,,,4.025712492710932,4.35922975018513,,,,,,4.170819120588179,,,,,,,,,,4.440726843017644,,,,,,,,,,,3.8434676591443293,4.1432811778358385,,,,,,,,,,,,,,4.985846087166568,,,,,,,,,,,,,,,,,,4.386214522817233,,,,,3.455894489855396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.330547290107618,,,5.035064251283867,5.692961290370356,,4.997641413891363,,
4.421792165769686,,,,,,,,,,,,,4.113092138227396,,,,,,,,,,3.799742746275074,,,,,,,,,4.8385069940001735,,,,,,,,,,,,,,,,,,,,,,4.471057987029951,,,,,,,,,,,,,,,,4.9916543478660165,5.27819339504908,,,,,,5.489171458140851,,,,,,,,,,5.889697687203457,,,,,,,,,,,4.955685093961392,6.217807752280034,,,,,,,,,,,,,,5.1300189298467735,,,,,,,,,,,,,,,,,,,,,,,4.409308979899545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.823088622539659,,,6.628912816752096,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.584718758752006,,,,,,,,,,,,,,,,4.347776053313033,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.391252970218261,,,,,,,,,,,,,,,5.2351719426500365,,,,,,,,,,,,,,,,,,,,,,,3.6686857217566504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,4.158650135256609,,,,,,,,,5.7594411996625565,,,,,,,,,,,,,,,,,,,,,,4.498143187595438,,,,,,,,,,,,,,,,4.09214047041053,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2937331483666545,,,,,,,,,,,,,,,5.017352705511506,,,,,4.74610379886336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.247923973904026,,,,,,,,,,,,,,,,,,,,,,,5.010629387431994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.243018191845776,,,,,,,,,,,,,,,,4.792375890603082,5.457520209903779,,,,,,,,,,,,,,,,6.389499532273827,,,,,,,,,,,5.021616993797298,,,,,,,,,,,,,,,5.962906290868038,,,,,,,,,,,,,,,,,,4.986393918375234,,,,,4.620141462641585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.784478313080907,,,5.420568183781406,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2.938207471495763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6826764714972806,,,,,,,,,,,,,,,,3.1582475690258605,3.741397025583644,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5119497083684927,,,,,,,,,,,,,,,4.7881893382712475,,,,,3.5684027971977788,,,,,,,,,,,,,,,,,,3.064348730092449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.444695909085464,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,3.416769011793838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.227955863502821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.757300870335793,,,,,3.3287268097283507,,,,,,,,,,,,,,,,,,3.6603219400512543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,4.302416365889547,,,,,,,,,6.077502413652224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9485297583434624,,,,,,,,,,,,,,,5.502970446435648,,,,,4.737168645408469,,,,,,,,,,,,,,,,,,3.3787577238341453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
