event_ID,location_latitude,location_longitude,location_uncertainty(m),origin_time,direction(degrees),direction_sharpness(degrees),direction_snr(degrees),duration(sec),params_std_deviation,velocity(m/s),number_of_stations
3179368,46.864390624107905,-121.79540868995916,7000.0,2021-12-22T04:47:34.075000Z,222.6432772320828,235.56222195269658,199.7087132883625,23.79583333333332,"0.293653686,1.414369486,0.19717581",42.16642442406095,12
3178938,46.84094200732091,-121.74958178537258,6200.0,2021-12-17T16:47:07.000000Z,247.83129889453605,244.30337984851528,228.80218232364854,16.944444444444443,"0.346903841,0.86190147,0.257888367",108.40913910545802,9
3179533,46.864390624107905,-121.79540868995916,7700.0,2021-12-26T08:58:51.000000Z,215.5008461232676,222.25034137394925,203.71676665971188,35.75,"0.340937639,0.607906848,0.230619085",117.5284604395518,10
3173243,46.86527631762692,-121.78360282102835,6300.0,2021-10-14T18:22:14.000000Z,233.77665053970233,194.6070681974322,180.843657680271,19.186363636363637,"0.414627157,1.165734296,0.30324317",71.12064399615083,11
3173158,46.86527631762692,-121.78360282102835,6400.0,2021-10-14T03:24:44.000000Z,25.31577696141343,256.02206211631614,230.75967567262927,8.47,"0.167643216,3.700790183,0.099507962",9.134039309422644,15
3175413,46.864390624107905,-121.79540868995916,6700.0,2021-11-10T16:42:55.525000Z,241.31087273909765,227.21454707333785,218.95787191228666,26.773076923076925,"0.277283938,1.475127892,0.198038781",44.47584577871739,13
3174673,46.864390624107905,-121.79540868995916,6500.0,2021-11-01T05:15:26.250000Z,195.31541075981315,196.2408974546271,192.8096667338302,24.853846153846156,"0.214356161,0.582139563,0.124940668",64.08053082435165,13
3171573,46.86527631762692,-121.78360282102835,8800.0,2021-09-23T04:48:49.000000Z,319.43835431547006,289.9203724515557,310.4899853044851,8.176470588235297,"0.211420926,1.86222124,0.177133475",36.955320664639046,17
3174103,46.849995055199166,-121.79282069906385,3900.0,2021-10-21T02:53:34.000000Z,-15.97024052204447,-1.457966342809255,324.9405633082044,14.86,"0.40348099,0.746498623,0.278334239",126.49934284187673,10
3171018,46.864390624107905,-121.79540868995916,8500.0,2021-09-17T07:12:44.050000Z,220.07170485061295,224.4619103018122,237.2652029521709,16.487500000000004,"0.344991723,0.79194775,0.206829116",61.093007224672505,16
