event_ID,location,location_uncertainty(m),origin_time,direction(degrees),direction_sharpness(degrees)params_std_deviation,velocity(m/s),number_of_stationsdirection_snr(degrees),direction_sharpness(degrees),direction_snr(degrees),duration,number_of_stations,params_std_deviation
['2944048'],"['46.21609584681671,-122.17902820341816']",[1000],"[UTCDateTime(2018, 6, 14, 23, 1, 8)]",[-1.9433421271607692],,[326.4130856136393],,[-1.7452188983616292],[-1.9241110280145213],[13.841666666666677],[6],"['0.921909255,0.087541039,0.780923846']"
['2943658'],"['46.1981030329759,-122.17906203543858']",[0],"[UTCDateTime(2018, 6, 14, 2, 8, 22)]",[36.01359514398143],,[75.1804949604285],,[32.960204558612176],[33.00968183765096],[10.240000000000004],[5],"['0.168483055,0.412388956,0.107602148']"
['2890353'],"['46.20709944700913,-122.17904512303906']",[0],"[UTCDateTime(2018, 5, 2, 8, 35, 48, 25000)]",[-0.6761830476779365],,[86.30823599183428],,[25.184138345703126],[-5.396332915573074],[12.275000000000002],[8],"['0.38407624,0.815089978,0.273498507']"
['2889443'],"['46.20711999176598,-122.20496064015421']",[1000],"[UTCDateTime(2018, 5, 1, 16, 7, 2, 80000)]",[279.03578342666765],,[55.63691443935053],,[286.48274856571226],[270.0634915956344],[11.338571428571425],[7],"['0.447857723,1.323283565,0.310826783']"
['2930853'],"['46.1981030329759,-122.17906203543858']",[1000],"[UTCDateTime(2018, 6, 8, 8, 10, 39, 550000)]",[686.256816369108],,[73.40054559704114],,[-14.530421225490775],[-16.587647261269545],[20.98333333333332],[6],"['0.343785876,0.885895554,0.23541656']"
['2889548'],"['46.19811403676282,-122.19201767753954']",[0],"[UTCDateTime(2018, 5, 1, 0, 11, 27)]",[-32.87608642054044],,[183.55318186585166],,[-32.876086420540524],[-32.87608642054045],[4.925000000000004],[4],"['inf,inf,inf']"
['2886543'],"['46.20708697341162,-122.1660873724145']",[0],"[UTCDateTime(2018, 4, 27, 19, 31, 46, 150000)]",[25.034695676911134],,[164.5220845923162],,[26.176222100300006],[25.663130379097115],[10.61249999999999],[4],"['0.402199671,0.272540781,0.205772541']"
['2885343'],"['46.19811403676282,-122.19201767753954']",[0],"[UTCDateTime(2018, 4, 26, 22, 25, 57)]",[-2.002781635098181],,[159.44340810041462],,[-4.0487961001516934],[-4.193240895444149],[21.125000000000004],[6],"['0.138642262,0.314598459,0.115030106']"
['2884743'],"['46.8662009808966,-121.80589677754088']",[3000],"[UTCDateTime(2018, 4, 25, 23, 45, 48, 1)]",[214.14238282183902],,[88.32638927703107],,[194.68967635613475],[207.65699907189426],[22.500002000000002],[4],"['0.344697116,1.025616969,0.260680609']"
['2883348'],"['46.20711999176598,-122.20496064015421']",[1000],"[UTCDateTime(2018, 4, 25, 15, 40, 52, 674816)]",[192.1098626618607],,[111.77560427563132],,[-185.25573137396512],[203.9596164208705],[9.291298666666671],[6],"['0.395728984,0.784563687,0.288661729']"
['2883548'],"['46.8662137359718,-121.819012256725']",[5000],"[UTCDateTime(2018, 4, 25, 1, 2, 58, 610000)]",[231.40611449352326],,[69.48903182411729],,[227.12665458364356],[232.5684168443147],[52.06999999999999],[6],"['0.261760802,0.87320095,0.190174561']"
['2913548'],"['46.198123573380435,-122.20497332446621']",[1000],"[UTCDateTime(2018, 5, 28, 10, 46, 37)]",[20.34357345397777],,[70.67604974779246],,[34.269111921246804],[32.81989067445789],[17.300000000000004],[8],"['0.220686406,0.743957446,0.166810374']"
['2850343'],"['46.857191358673674,-121.79280319434346']",[2000],"[UTCDateTime(2018, 3, 12, 14, 49, 25, 5)]",[125.80349973238584],,[115.8720943630723],,[128.07974836328282],[124.54705983240758],[19.48001],[5],"['0.26097458,0.37640882,0.147284461']"
['2902343'],"['46.198123573380435,-122.20497332446621']",[1000],"[UTCDateTime(2018, 5, 8, 22, 54, 44, 300000)]",[306.1071649089614],,[186.79521792133693],,[299.1715307357362],[307.3938523754956],[6.7],[5],"['0.336206345,0.169317197,0.139316108']"
['2845943'],"['46.86617096897022,-121.77966583962578']",[1000],"[UTCDateTime(2018, 3, 7, 17, 53, 45, 18)]",[105.88246505932622],,[71.10322184831388],,[115.2081690647596],[101.20339148030288],[30.33753599999998],[4],"['0.260649007,0.746638322,0.171215109']"
['2844843'],"['46.86618672522889,-121.79278130493098']",[6000],"[UTCDateTime(2018, 3, 7, 13, 51, 13, 450018)]",[99.12007472215947],,[66.91200369842126],,[104.08938797767954],[95.73498888170903],[17.590035999999987],[5],"['0.141378252,0.40585776,0.08273534']"
['2845043'],"['46.21610685526774,-122.1919880745062']",[1000],"[UTCDateTime(2018, 3, 7, 0, 52, 31, 550000)]",[36.44325082249653],,[587.1917544509986],,[36.84376616102635],[36.46283529811974],[8.77999999999999],[5],"['0.419899603,0.086927078,0.230854033']"
['2895053'],"['46.857158352649165,-121.76657664960902']",[3000],"[UTCDateTime(2018, 5, 8, 11, 39, 57, 725011)]",[276.50184545963026],,[19.026486152193545],,[4.39772502031341],[316.7775453606363],[19.012522000000004],[4],"['0.436772698,6.200156579,0.332730553']"
['2825353'],"['46.198123573380435,-122.20497332446621']",[1000],"[UTCDateTime(2018, 2, 5, 6, 23, 28, 725001)]",[266.1153434554279],,[127.46901793391375],,[255.59301474233214],[259.91524162825505],[19.90833533333334],[6],"['0.402297246,0.679673481,0.285931418']"
['2825743'],"['46.19811403676282,-122.19201767753954']",[1000],"[UTCDateTime(2018, 2, 3, 14, 13, 49, 825000)]",[290.48044464735864],,[239.10636474161936],,[287.74043527813666],[292.90733822355213],[9.699999999999998],[6],"['0.36700529,0.25822445,0.22204805']"
['2887258'],"['46.875209094115355,-121.81899473760174']",[3000],"[UTCDateTime(2018, 4, 24, 16, 28, 1, 824998)]",[183.5018905622467],,[18.095632153612062],,[170.92269579802917],[194.15262678478373],[17.959996],[5],"['0.145822646,1.957738555,0.108719302']"
