event_ID,location_latitude,location_longitude,location_uncertainty(m),origin_time,direction(degrees),direction_sharpness(degrees),direction_snr(degrees),duration(sec),params_std_deviation,velocity(m/s),number_of_stations,Label
3179368,46.85807348491391,-121.7783761615024,58000,2021-12-22T04:47:34.075000Z,177.3601741510872,312.5115656330588,176.5259338005431,25.149999999999988,"0.291803418,1.944002982,0.230200717",45.19482988171252,8,
3179088,46.21970541214091,-122.1919821508657,11000,2021-12-19T07:26:45.000000Z,97.73334937162493,112.78831063431907,113.7368893966235,22.407142857142865,"0.256038082,1.667656686,0.134776134",26.16576444419977,7,
3178938,46.839140927657695,-121.74827671424264,36000,2021-12-17T16:47:07.000000Z,-13.480933684778574,-39.83437494946761,291.04949210855,18.23333333333333,"0.402479871,1.182150269,0.240952305",74.69136571055662,6,
3177563,46.20532070922679,-122.2049631774498,18000,2021-12-07T09:42:15.775000Z,88.96376066957386,90.63459393177692,59.34467464737112,17.38125000000001,"0.209694594,0.946468032,0.150203815",42.67498666393308,8,
3177373,46.19902321585906,-122.20497205627863,15000,2021-12-06T19:05:48.475000Z,114.9606974038473,115.31728257514136,114.26031865711118,12.075000000000008,"0.286471291,0.177636134,0.140861335",218.2038612632986,6,
3177603,48.80457520993711,-121.8109554011188,85000,2021-12-05T11:22:35.000000Z,184.2752753485997,185.71083303481987,203.11990499820905,6.349999999999987,"0.204428343,1.135221251,0.112181072",37.22462850407628,4,
3176933,48.801884943391016,-121.81776859953638,85000,2021-11-29T21:28:22.000000Z,186.05694242134612,188.46165864888795,189.4924341009556,2.8500000000000085,"0.055277527,0.301551933,0.030460517",37.32846979011424,4,
3176813,43.71718505173934,-121.18263026001856,73000,2021-11-29T16:11:53.400000Z,182.03472549078865,173.42670469767356,185.24314361509036,7.162500000000001,"0.146050037,0.965012812,0.101750642",42.92447710119583,4,
3176543,48.80727441943351,-121.81230986722429,85000,2021-11-24T10:58:17.000000Z,506.320976574008,123.17334963806668,267.4738510516629,7.699999999999996,"0.32580928,5.96312701,0.173652382",10.169792998657538,4,
3179533,46.854475336375685,-121.77838587787356,56000,2021-12-26T08:58:51.000000Z,4.4762202506936415,5.514637806556323,18.523321626737896,36.09166666666666,"0.25388364,1.287005333,0.180542422",49.75081464126231,6,
3176163,48.81084156287694,-121.78779379760158,88000,2021-11-18T20:32:40.000000Z,90.66226284670834,95.02512066900724,48.21010114422539,3.924999999999997,"0.151472413,3.837068264,0.129282841",20.016435815189396,4,
3175703,46.20980622731297,-122.188110920745,6000,2021-11-07T07:06:01.600000Z,113.1575458400814,113.15754584008135,113.15754584008138,42.45,"inf,inf,inf",102.87209803552857,4,
3176378,48.80637518892025,-121.81231215398697,89000,2021-11-21T21:55:47.000000Z,123.95109589976448,121.17976074202,125.75475115346138,3.924999999999997,"0.16126412,0.847175505,0.098455257",51.00961796365262,4,
3173243,46.85082259133239,-121.74037158358584,36000,2021-10-14T18:22:14.000000Z,-10.90676007136684,4.577394032031879,-19.21946281046024,17.692857142857143,"0.410901164,0.784939542,0.275700927",92.4831964612243,7,
3173158,46.84997930502367,-121.77970917313914,40000,2021-10-14T03:24:44.000000Z,-14.794155607539896,-7.0781571365121785,313.02003378450394,7.850000000000005,"0.147241833,0.80475852,0.091988566",42.63017770314655,11,
3173148,46.20891563422433,-122.19977482855089,16000,2021-10-14T01:26:05.800000Z,98.17161729530902,93.05897943481328,94.18720874440972,25.61875,"0.125256957,0.332792894,0.095736343",70.9398512084257,8,
3175953,46.20261814537909,-122.19978430091729,10000,2021-11-14T06:17:08.000000Z,102.7908931135196,102.7908931135196,102.7908931135196,19.924999999999983,"inf,inf,inf",236.1386315522707,4,
