event_ID,location_latitude,location_longitude,location_uncertainty(m),origin_time,direction(degrees),direction_sharpness(degrees),direction_snr(degrees),duration(sec),params_std_deviation,velocity(m/s),number_of_stations
3171563,45.38426380096844,-121.69319287618265,4900.0,2021-09-21T23:43:29.450000Z,258.2334756493794,260.5601595208064,250.59673912962413,11.939999999999998,"0.532529352,0.592428929,0.364873009",134.32473672809743,5
3174173,45.37617144994395,-121.69831773555966,7500.0,2021-10-20T21:58:33.325000Z,239.54949948879505,235.74817702121425,259.6862784064732,17.39444444444446,"0.299102629,0.516896764,0.201476534",119.78095771308669,9
3170748,45.3968325910116,-121.6701762620284,6200.0,2021-09-15T00:20:45.475000Z,319.115123360378,685.8179537290079,-48.42426874138027,23.985714285714295,"0.618396183,0.875527244,0.468600078",156.14714677674704,7
3170673,45.374373267438834,-121.69959824128337,3200.0,2021-09-14T11:25:22.850000Z,277.01443463269305,276.7465530949886,280.11732790882104,10.100000000000001,"0.066876008,0.38359114,0.047009693",39.368341473701726,4
3170663,45.38067826164669,-121.70596859584627,2900.0,2021-09-14T10:46:38.875000Z,233.63850120647675,235.03742581917223,238.29489451861056,20.11250000000001,"0.163292414,0.25358483,0.100971107",112.75185350591532,4
3170653,45.41842186089213,-121.66628603549897,7400.0,2021-09-14T07:36:48.625004Z,200.46981368181122,190.50820869753602,209.7815972289372,20.84000800000001,"4.772564209,0.38625353,4.132083123",514.0752871961173,5
3170588,45.37167529756748,-121.70088056761662,3100.0,2021-09-13T04:12:34.000000Z,306.092058600206,14.516170749510428,313.3291214217527,15.799999999999994,"0.323074453,1.116834259,0.241612456",83.02881960803454,5
3173023,45.35550839902336,-121.73281970295247,7100.0,2021-10-07T11:49:32.000000Z,303.27374298414924,311.97898993335184,263.5749098988719,5.4624999999999915,"1.321112975,1.170293842,0.899467852",113.84015167258421,4
3172058,45.37255946979193,-121.68683628703067,4600.0,2021-10-01T10:34:49.925000Z,212.58209001044963,191.98344697979573,198.1455206012397,7.37499999999999,"0.77558935,0.90282889,0.509588737",146.75159370588645,6
3171783,45.38336403056326,-121.69319490048835,9100.0,2021-09-27T17:15:07.125000Z,191.04837889548307,189.60090207918805,192.10660044860967,26.83888888888889,"0.357386939,0.418906694,0.26693662",191.12400437670343,9
3169753,45.36986457841528,-121.69067221665406,2900.0,2021-09-02T12:19:14.900000Z,229.72769492532962,229.4348660567717,229.47297404434582,12.225000000000009,"0.069117587,0.069628967,0.050439375",224.0840669132082,4
3169738,45.36717776579697,-121.70216653434184,3100.0,2021-09-02T00:25:04.075000Z,306.0306701227962,666.0306701227962,666.0306701227962,55.8875,"inf,inf,inf",91.86145542435152,4
3169533,45.3887583091062,-121.6893519211311,7100.0,2021-08-29T12:05:05.000000Z,226.87874194215044,222.31666271795208,215.02478681048024,24.31428571428572,"0.302065372,0.39463123,0.209882074",135.24125908134573,7
3167518,45.42200664703798,-121.65605468425866,7200.0,2021-08-15T12:41:31.150257Z,51.02747190816346,64.76285926623001,45.03659393816199,11.708847333333338,"1.063972748,0.361004711,1.053843299",249.88366569355236,6
3167558,45.38786983210131,-121.69956939855687,4800.0,2021-08-15T07:59:43.000000Z,208.57122096543876,212.49215645081404,225.33103427361496,13.77,"0.349842637,0.811067052,0.241135146",87.52577307042851,5
3184858,45.375278341963195,-121.70470288297496,2800.0,2021-08-12T06:30:18.950000Z,257.0904189413626,292.17458487017626,264.3008538023745,23.15999999999998,"0.311826449,1.176870024,0.191387804",43.859332023954124,5
3184798,45.37707788570607,-121.70469920005337,2900.0,2021-08-11T12:00:06.000000Z,234.74461869647098,239.49724221072574,238.5818115775166,13.239999999999998,"0.327239543,0.374778792,0.202871495",129.82722047069902,5
3184783,45.37707393000965,-121.70086915556884,3300.0,2021-08-11T06:21:35.000000Z,243.23727311073748,248.6251457995689,245.57529237469478,21.289999999999992,"0.210969319,0.221885781,0.132568947",129.92346162640018,5
3175793,45.36266493281259,-121.68941236425142,3900.0,2021-08-10T20:53:23.925000Z,192.28035184541795,195.20033401183457,198.26888232082428,13.879999999999995,"0.827278511,0.320033966,0.450242852",329.6245403084764,5
3169228,45.36985864942659,-121.6855661410331,4600.0,2021-08-27T21:33:25.125000Z,199.20513487847106,177.05837773147633,205.8358308088346,16.87500000000001,"0.506919473,0.916183185,0.339661571",89.56155422147636,6
3167183,45.37348632353764,-121.71236617047684,5600.0,2021-08-06T01:00:02.300000Z,180.15086470114107,-201.61741211813347,-199.4812476746036,12.849999999999998,"0.421119979,0.769465665,0.277987234",117.6171185518008,7
3168718,45.37707393000965,-121.70086915556884,3300.0,2021-08-24T15:52:33.000000Z,-196.66625288917425,-195.04328881447512,-198.1957747456627,20.97500000000001,"0.097401719,0.284188669,0.075358093",84.30713676376425,4
3168673,45.3797758958599,-121.7034169328225,7800.0,2021-08-24T05:19:07.450000Z,219.5069121572653,218.57059805595696,210.83288325366297,18.143749999999986,"0.138474312,0.379177255,0.099440676",94.87526945856642,8
3168758,45.36900790410361,-121.7366282745325,6000.0,2021-08-21T23:15:58.000000Z,-205.99534161936333,182.4020523277028,123.36638795433261,17.75000000000001,"0.338652302,1.938340794,0.277488501",47.84395970979423,6
3168433,45.35999329008469,-121.71622085276637,5100.0,2021-08-21T01:02:45.125000Z,208.96770542489742,208.74471678987257,207.05153518935464,29.17000000000001,"0.097132547,0.197761865,0.072927182",127.05683967812485,5
3168268,45.37348871813831,-121.71491937254959,1600.0,2021-08-20T10:02:35.000000Z,211.73781083770442,211.95946968425335,211.3083704329734,7.924999999999997,"0.79296782,0.179931235,0.447126941",559.9280096560134,4
3163598,45.3752716781404,-121.69831967815816,6600.0,2021-07-06T07:27:48.525000Z,124.18250113872381,120.34062506381103,122.87534277701383,7.490000000000006,"0.318513876,0.602242676,0.215934324",116.65991677739497,10
3155238,45.42386451735579,-121.70332560023894,9600.0,2021-04-02T01:22:39.000000Z,56.62967947180696,320.2935445079288,116.29717818831794,16.04166666666666,"0.310748581,1.993344813,0.245779689",55.46663326426191,6
3154478,45.38605147891809,-121.68297376190247,7200.0,2021-03-20T20:44:22.625000Z,149.665103002307,-204.8887350459141,135.47509909303085,14.199999999999996,"0.42731382,0.731985743,0.32933489",159.7257444117246,9
3123723,45.378872125886595,-121.69958862906297,9100.0,2020-04-17T11:48:51.750000Z,99.37929450428535,102.30239475734308,73.72996675572446,15.764285714285714,"0.839254969,0.625698165,0.453860402",189.79805617791604,7
3124198,45.395004305648655,-121.64974769745466,6000.0,2020-04-20T06:26:08.000000Z,-400.8223730435557,-400.6321031764215,-40.22086975878632,2.9625000000000057,"3.057733613,0.08873235,0.341429686",858.7129776467604,4
3105123,45.35371625585945,-121.74303174881598,7600.0,2019-09-05T18:56:02.000000Z,169.5388949132816,-200.33598250486085,-568.7360968936711,19.82,"0.397186486,0.974015161,0.289607276",81.5968459547196,5
3104598,45.39506385834306,-121.69572274986533,9100.0,2019-08-30T03:50:54.000000Z,504.44132004965115,136.18440916787318,-568.814497185702,13.616666666666674,"0.325121799,0.869486116,0.188773743",79.60373582460109,6
2988243,45.3959242309328,-121.66379312843588,7600.0,2018-08-13T07:43:26.775000Z,295.5871620504573,297.0784335147925,294.02675239650495,28.025000000000013,"0.247675463,0.125467527,0.096382507",228.68825531228094,4
2778488,45.37344681264584,-121.67662136667676,9500.0,2017-10-10T13:49:43.600004Z,71.94129418263853,97.5040724673342,103.94080531168551,20.87500800000002,"0.274724127,2.111304603,0.165783902",34.5806289562612,6
2766868,45.36452978324121,-121.77237415278358,6900.0,2017-09-16T00:45:00.000000Z,80.91804271879043,80.57393700681067,80.74058915097773,8.287500000000001,"0.007981418,0.012104586,0.005015842",92.33105312401939,4
2779213,45.381552628130336,-121.68298469314719,9300.0,2017-10-10T23:01:18.000000Z,-46.3339665452057,311.0495794517061,-48.79763242577869,22.07999999999999,"0.657407895,0.325844088,0.203751865",195.94787871801316,5
2766758,45.3617329547685,-121.66388772245156,9600.0,2017-09-15T11:49:25.000000Z,-27.16163698046183,-751.3376716871288,-383.69997854837004,12.25000000000001,"0.331305117,1.23748917,0.185757522",39.88180047344633,5
2305543,45.37430576829854,-121.64725685363865,6500.0,2016-01-01T18:10:25.025000Z,31.626555793706736,51.530423221183035,28.939316583883702,34.48749999999999,"0.60967529,0.66786978,0.52190661",306.4118667645623,4
2538758,45.37796682351958,-121.69448374583581,8500.0,2015-10-02T13:04:15.490000Z,865.3188990402283,79.46061912955707,229.51424845182137,15.665714285714277,"0.49623529,2.640235451,0.313814145",39.044314142240005,7
2208658,45.40499282867704,-121.72891096214826,6700.0,2015-09-30T10:46:26.900000Z,154.3967939092111,156.5037683987299,190.54869565319956,3.9750000000000014,"0.454159805,4.719930383,0.379780909",24.120434471302815,4
2245453,45.400455300977896,-121.68932480199673,8700.0,2015-10-27T18:22:11.200000Z,-48.66954512333829,-755.9532087283623,-56.370827081367466,37.95714285714287,"0.689415132,0.264577937,0.514678691",466.9445130981729,7
2204348,45.39057444562082,-121.70467156826417,9300.0,2015-09-23T17:59:54.000000Z,50.718106730825525,47.733610089491734,28.4515717949976,13.25,"0.324199735,2.836623029,0.222072289",33.29520709546518,6
2623623,45.35191493679667,-121.74048198146865,5600.0,2015-08-13T13:55:39.800000Z,46.446167795182475,54.90330416761511,32.78036327472982,15.059999999999992,"0.305741902,0.545177053,0.206838989",116.049815314065,5
2623618,45.360895373084595,-121.71877183067492,5700.0,2015-08-13T13:34:00.000000Z,37.34553143015296,42.955823835303995,43.81619819380769,12.116666666666669,"0.143188431,0.39824719,0.092839856",80.74730030000426,6
2584248,45.385166394203786,-121.69574457831033,9700.0,2015-09-15T12:59:50.875000Z,106.81504581056382,103.775818451473,107.01740145098898,0.5857142857142849,"0.233510009,0.31386924,0.127206641",115.80891491637054,7
2589548,45.35266290005124,-121.61797184718687,6800.0,2015-09-12T13:50:33.215000Z,65.69939270282907,66.51470778709316,65.0427172797363,3.0050000000000026,"7.766143188,0.102067682,7.262966888",721.7546348585992,4
2186943,45.37079513668583,-121.72130711294373,6100.0,2015-08-22T22:46:58.000000Z,63.39245958259951,62.85377177971654,65.69195633777998,23.77499999999999,"1.715161605,0.361002117,0.466727325",355.1940241133749,4
2186163,45.36450415351901,-121.7302529519003,4900.0,2015-08-20T09:39:48.000000Z,-6.864223286225143,-12.923148883775523,9.882148242809786,15.34166666666666,"0.199863645,0.822117304,0.162597663",85.82127746017923,6
2187068,45.3725388096841,-121.67024075904118,10100.0,2015-08-19T15:30:43.965000Z,298.6285883240455,315.5782538246331,320.4077787551004,1.8675000000000033,"0.467770495,0.62136303,0.306669535",107.31251472445807,8
2176663,45.37619704383957,-121.72512763013839,8300.0,2015-07-29T12:55:54.375004Z,96.72701265351564,99.86855203701086,90.2415289018218,38.04167466666667,"0.343937648,0.455676525,0.189905644",116.80830819965415,6
2165708,45.378897422023094,-121.72639979971845,8000.0,2015-07-02T21:44:44.000000Z,124.76322961290983,118.03918341683801,119.36940876229609,11.799999999999997,"0.496399846,0.761344173,0.334564963",133.55607964838157,6
2705848,45.37529400016906,-121.72129922212466,6200.0,2015-06-30T22:54:21.000000Z,86.97798919897014,85.84971517018278,92.52795403010963,15.866666666666665,"0.423157068,0.776511978,0.220912154",86.76026696633792,6
