Date,Time Start,Time End,Seismic,PR03,PR04,South Side,Remarks,Unnamed: 8,Unnamed: 9,Unnamed: 10
2021-03-11,22:58:00,23:00:00,x,,,,"Confirmed avalanche from south side of sickle/sunset amplitheater, photos available from Craig Craker (photos in email)  ",,,
2021-03-15,14:35:30,14:37:30,x,,,x,,,,
2021-03-22,23:04:40,23:06:30,x,,,x,"PARA/OPCH infra, strong seismic",,,
2021-03-27,11:02:00,11:04:00,x,,,x,KAUT/PARA/OPCH infrasound,,,
2021-04-22,19:28:50,19:30:00,x,,,x,KAUT/PARA infrasound (OPCH out),,,
2021-04-28,03:24:30,03:29:30,,x,x,x,Some kind of surface source (blast?) that recorded on every working infrasound sensor on Rainier,,,
2021-05-29,06:08:00,06:11:00,x,x,x,x,All sites except OPCH.  Use this one!,,,
2021-05-30,04:50:30,04:52:00,x,,x,,"PR04 and CRBN recorded, nothing else",,,
2021-05-31,04:43:00,04:45:00,x,,x,x,,,,
2021-06-01,02:15:00,02:16:00,x,,,x,,,,
2021-06-01,04:56:00,04:57:00,x,,,x,,,,
2021-06-01,08:34:00,08:36:00,x,,x,x,,,,
2021-06-01,15:41:00,15:43:00,x,,x,,Nice signal on west side (inc Carbon) nothing on south side,,,
2021-06-02,10:43:00,10:45:00,x,x,x,x,All sites except OPCH.  Use this one!,,,
2021-06-14,01:53:00,01:54:00,,x,x,x,Some kind of surface source (blast?) that recorded on every working infrasound sensor on Rainier,,,
2021-06-14,17:46:00,17:47:00,,x,x,x,Some kind of surface source (blast?) that recorded on every working infrasound sensor on Rainier,,,
2021-06-14,17:53:00,17:56:00,,x,x,x,Some kind of surface source (blast?) that recorded on every working infrasound sensor on Rainier,,,
2021-06-14,18:03:00,18:04:00,,x,x,x,Some kind of surface source (blast?) that recorded on every working infrasound sensor on Rainier,,,
2021-06-15,00:13:00,00:15:00,,x,x,x,Moving source from Packwood toward Seattle along westside,,,
2021-06-17,13:37:00,13:39:00,,x,x,x,Some kind of surface source (blast?) that recorded on every working infrasound sensor on Rainier,,,
2021-06-17,18:04:00,18:08:00,,x,x,x,Some kind of surface source (blast?) that recorded on every working infrasound sensor on Rainier,,,
2021-06-21,12:24:30,12:26:30,x,,,,,,,
2021-06-28,02:48:00,02:54:00,x,x,x,x,only PARA/OPCH didn't pick it up.  Long flow signal only on STAR,,,
2021-07-09,07:37:30,07:38:30,x,,,x,Success headwall area,,,
2021-07-23,03:49:00,03:50:30,x,,,x,only PARA,,,
2021-07-22,19:44:00,19:45:00,x,,,x,,,,
2021-07-24,10:09:00,10:11:00,x,,,x,Also seen on temp infra,,,
2021-07-26,17:18:00,17:19:00,x,,,x,Also seen on temp infra,,,
2021-08-04,17:52:00,17:54:00,x,,,,Carbon event (?) only shows up on CRBN,,,
2021-08-09,04:38:00,04:39:00,x,,,x,Also seen on temp infra,,,
2021-08-09,14:39:15,14:40:15,x,,,x,"Seen on temp arrays, larger",,,
2021-08-11,13:21:50,13:25:00,x,,,x,Strong on Kautz only. Temp arrays too,,,
2021-08-11,14:02:50,14:06:00,x,,,x,"Good records on south side, maybe PR05, temp arrays too",,,
2021-08-12,20:46:30,20:49:30,x,,x,x,,,,
,,,,,,,,,,
2021-08-16,05:09:50,05:11:00,x,,,x,Good on KAUT/PARA/OPCH,,,
2021-08-20,01:32:30,01:35:00,x,,,,close to STAR,,,
2021-08-20,05:06:30,05:09:00,x,,,,close to STAR,,,
2021-08-25,11:41:20,11:43:00,x,,,x,,,,
2021-08-27,11:20:00,11:22:00,x,,,x,,,,
2021-08-29,23:05:00,23:08:00,x,,,x,,,,
2021-08-30,06:37:00,06:40:00,x,,x,,,,,
2021-08-30,16:35:00,16:36:00,x,,,x,,,,
2021-09-01,17:12:00,17:16:00,,x,x,x,"NOT a volcanic event, but most infrasound picks it up, good calib event",,,
2021-09-02,11:55:00,11:57:00,x,,x,,Definite west side event (04/SIFT),,,
2021-09-02,14:34:00,14:36:00,x,,,x,Good on KAUT/PARA/OPCH,,,
2021-09-07,05:42:00,05:44:00,x,,,x,,,,
2021-09-13,17:16:00,17:17:30,x,,,x,Good on KAUT/PARA/OPCH (Nisqually Icefall w/ photo by Jost),,,
2021-09-13,17:46:30,17:48:00,x,,,x,Good on KAUT/PARA/OPCH (Nisqually Icefall w/ photo by Jost),,,
2021-09-14,19:20:30,19:21:30,x,,,,"Weak seismic, good infrasound on OPCH, PARA, KAUT (Nisually Icefall w/ video by Jost)",,,
