event_ID,location,location_uncertainty(m),origin_time,direction(degrees),direction_sharpness(degrees)params_std_deviation,velocity(m/s),number_of_stationsdirection_snr(degrees),direction_sharpness(degrees),direction_snr(degrees),duration,number_of_stations,params_std_deviation
['1346133'],"['43.722651366046065,-121.25832001025157']",[1000],"[UTCDateTime(2013, 1, 14, 11, 17, 57)]",[114.71834832164204],,[77.64466688892392],,[117.43608033563275],[113.32475683853565],[8.510000000000014],[5],"['0.145989309,0.619622805,0.109214108']"
['1346128'],"['43.72264396098373,-121.24590981662602']",[0],"[UTCDateTime(2013, 1, 14, 10, 53, 56)]",[155.96419073302675],,[73.17755070911144],,[155.88995156597616],[155.69223505793056],[3.6875],[4],"['0.010093776,0.027729237,0.005748923']"
['1346123'],"['43.72264396098373,-121.24590981662602']",[1000],"[UTCDateTime(2013, 1, 14, 10, 40, 46)]",[135.69669624940275],,[170.7326738396109],,[136.73681148568738],[135.49784611232587],[4.640000000000003],[5],"['0.277097424,0.390970985,0.176899783']"
['1346113'],"['43.71366784171753,-121.32037100893913']",[1000],"[UTCDateTime(2013, 1, 14, 10, 18, 23, 50000)]",[93.6391221547391],,[4472.7643975990995],,[93.63912215473941],[93.63912215473927],[7.149999999999999],[4],"['inf,inf,inf']"
['1346103'],"['43.722651366046065,-121.25832001025157']",[1000],"[UTCDateTime(2013, 1, 14, 9, 24, 50)]",[-205.62331390190428],,[118.14211737883463],,[162.13171588155492],[-206.90841206989947],[6.740000000000004],[5],"['0.273456158,0.321070822,0.144246408']"
['1346098'],"['43.722651366046065,-121.25832001025157']",[0],"[UTCDateTime(2013, 1, 14, 8, 50, 18)]",[170.92325847054016],,[95.89409641401244],,[175.25656999318596],[526.9337884673245],[7.410000000000002],[5],"['0.438690708,0.52711744,0.223578121']"
['1346093'],"['43.73165170242223,-121.25831072249052']",[1000],"[UTCDateTime(2013, 1, 14, 8, 36, 40)]",[31.559024779498678],,[100.06979010470015],,[23.99053067774093],[33.20345120673674],[8.059999999999997],[5],"['0.720806285,0.856527018,0.282564366']"
['1346088'],"['43.722657424734365,-121.27073020665527']",[1000],"[UTCDateTime(2013, 1, 14, 8, 21, 33)]",[8.300351004151095],,[73.35044660184771],,[8.584551253164976],[10.059233845946768],[6.219999999999999],[5],"['0.42613385,0.668722919,0.201873672']"
['1346083'],"['43.73166247561025,-121.28313483262217']",[1000],"[UTCDateTime(2013, 1, 14, 7, 58, 29, 725000)]",[142.0707936375667],,[235.08040978504093],,[142.07079363756674],[142.0707936375667],[10.012500000000003],[4],"['inf,inf,inf']"
['1346068'],"['43.73165776234017,-121.2707227764444']",[1000],"[UTCDateTime(2013, 1, 14, 7, 34, 34)]",[-8.693511521745645],,[107.20416657817512],,[-12.642647561195039],[-8.314362338712359],[7.708333333333338],[6],"['0.34354261,0.335407453,0.133247284']"
['1346063'],"['43.695664399879576,-121.29556174178451']",[3000],"[UTCDateTime(2013, 1, 14, 6, 58, 10, 325000)]",[48.80569173297684],,[26.393020909081663],,[52.416917488603595],[45.74272133506782],[4.730000000000001],[5],"['0.130716755,1.142272356,0.136515812']"
['1346048'],"['43.73165170242223,-121.25831072249052']",[2000],"[UTCDateTime(2013, 1, 14, 2, 36, 8)]",[190.6465185458538],,[347.3369299841225],,[190.6465185458538],[190.6465185458538],[31.9125],[4],"['inf,inf,inf']"
['1345953'],"['43.722657424734365,-121.27073020665527']",[1000],"[UTCDateTime(2013, 1, 13, 18, 4, 33)]",[8.331769858812605],,[190.10390129203654],,[9.439022844697726],[8.847788744920019],[9.674999999999997],[4],"['0.235583724,0.164615987,0.087515224']"
['1345853'],"['43.722662137048054,-121.28314040528151']",[1000],"[UTCDateTime(2013, 1, 13, 15, 57, 39, 825000)]",[180.47766759291687],,[63.77203952316235],,[185.36449168724477],[180.29890804073514],[13.280000000000006],[5],"['0.21090118,0.471378146,0.104455969']"
['1345833'],"['43.73165776234017,-121.2707227764444']",[1000],"[UTCDateTime(2013, 1, 13, 14, 41, 39, 50000)]",[-205.18654346548178],,[52.573281263228026],,[171.5900348897189],[-568.308638103918],[7.319999999999993],[5],"['0.419123865,0.971956053,0.144137084']"
['1345828'],"['43.722657424734365,-121.27073020665527']",[2000],"[UTCDateTime(2013, 1, 13, 14, 36, 38)]",[174.85404073024966],,[92.14767896852504],,[168.6037157425426],[173.5877218014057],[9.749999999999993],[4],"['0.329375493,0.47428732,0.16384754']"
['1345823'],"['43.73165170242223,-121.25831072249052']",[0],"[UTCDateTime(2013, 1, 13, 14, 27, 14)]",[38.47498422923725],,[117.59724649659002],,[46.64657275159353],[36.29391461854211],[24.179999999999996],[5],"['0.372711286,0.469938496,0.154320576']"
['1345818'],"['43.72264396098373,-121.24590981662602']",[1000],"[UTCDateTime(2013, 1, 13, 13, 32, 5)]",[101.27926177853712],,[87.7879296035971],,[89.74247331952347],[100.93590370643895],[4.137500000000003],[4],"['0.186395109,1.046935497,0.182863685']"
['1345808'],"['43.73165776234017,-121.2707227764444']",[0],"[UTCDateTime(2013, 1, 13, 12, 4, 44)]",[138.54628851153979],,[150.80680030942884],,[138.51471863940444],[138.2966678539239],[6.875],[4],"['0.178833372,0.135446002,0.052368859']"
