event_ID,location,location_uncertainty(m),origin_time,direction(degrees),direction_sharpness(degrees)params_std_deviation,velocity(m/s),number_of_stationsdirection_snr(degrees),direction_sharpness(degrees),direction_snr(degrees),duration,number_of_stations,params_std_deviation
['1941583'],"['46.84812398024422,-121.74038077174545']",[1000],"[UTCDateTime(2014, 11, 15, 20, 50)]",[246.06690756873328],,[76.87149445104708],,[241.3747571619541],[242.78808484618028],[7.85],[5],"['0.097451889,0.33623413,0.065757625']"
['1941598'],"['43.7226655029867,-121.29555060557466']",[1000],"[UTCDateTime(2014, 11, 15, 12, 31, 56, 2000)]",[247.5154716529634],,[45.84038227644483],,[249.18968711391105],[240.27331337226792],[4.553999999999995],[4],"['0.176072913,1.142778753,0.178991169']"
['1924558'],"['46.19809056202087,-122.16610639885269']",[0],"[UTCDateTime(2014, 11, 4, 22, 20, 26, 851323)]",[13.905850579234913],,[146.57809950733514],,[15.221345464940896],[12.864118027640641],[34.027645999999976],[4],"['0.120629126,0.118247398,0.071945717']"
['1922943'],"['46.84816297896432,-121.76660290551352']",[3000],"[UTCDateTime(2014, 11, 3, 4, 52, 48, 33)]",[-389.29180516632783],,[30.213796323400828],,[324.4545541300846],[-385.4620473318635],[15.135780285714285],[7],"['0.147276852,1.247058002,0.101217025']"
['1920558'],"['46.1981030329759,-122.17906203543858']",[4000],"[UTCDateTime(2014, 10, 30, 3, 38, 44, 375000)]",[73.00083912716207],,[90.16050862597939],,[58.81881409136354],[73.85905193400559],[24.8125],[12],"['0.139453769,0.343277415,0.092603611']"
['1916758'],"['46.198123573380435,-122.20497332446621']",[1000],"[UTCDateTime(2014, 10, 23, 16, 17, 55)]",[137.88921535605996],,[159.81532588396888],,[145.81883732165917],[129.6699302473588],[26.96999999999999],[5],"['0.603517109,0.61751382,0.37502422']"
['1916768'],"['46.1981030329759,-122.17906203543858']",[1000],"[UTCDateTime(2014, 10, 23, 3, 17, 47, 675000)]",[27.902511061759864],,[147.80862495419692],,[27.902511061759856],[27.90251106175983],[125.98750000000001],[4],"['inf,inf,inf']"
['1914758'],"['46.19809056202087,-122.16610639885269']",[1000],"[UTCDateTime(2014, 10, 20, 12, 10, 0, 800161)]",[18.111252716761705],,[101.81220830756781],,[20.569375635166352],[14.352029467808828],[29.900322000000024],[4],"['0.224987515,0.375739722,0.149979135']"
['1915383'],"['46.135069136497656,-122.12741680603182']",[5000],"[UTCDateTime(2014, 10, 19, 3, 57, 30, 125004)]",[139.44289177232477],,[576.8052237951878],,[142.5118329056607],[137.68848823530382],[-7.718742000000002],[8],"['6.82905975,0.207188051,6.406024199']"
['1914353'],"['46.1981030329759,-122.17906203543858']",[0],"[UTCDateTime(2014, 10, 18, 19, 49, 53)]",[47.74634620715236],,[82.2960218997245],,[59.474222450159736],[53.50824739454811],[16.450000000000003],[6],"['0.187948501,0.450322329,0.131717133']"
['1913943'],"['46.189127140770765,-122.20498600336543']",[0],"[UTCDateTime(2014, 10, 18, 18, 54, 31, 825005)]",[75.74967689156041],,[71.72020769988178],,[106.55403355510155],[51.90600894449146],[45.75000999999998],[4],"['0.707060752,2.715116762,0.561617753']"
['1914043'],"['46.19809056202087,-122.16610639885269']",[1000],"[UTCDateTime(2014, 10, 18, 1, 5, 1, 950000)]",[50.188949807754724],,[119.80165306038462],,[59.232948000631396],[41.7607507554922],[79.83125000000001],[8],"['0.204052867,0.329486963,0.145475557']"
['1911043'],"['46.198123573380435,-122.20497332446621']",[1000],"[UTCDateTime(2014, 10, 16, 4, 45, 46)]",[108.1161792168373],,[131.2419295789756],,[107.23809330823416],[87.27988046739074],[30.130000000000003],[5],"['0.332233384,0.425629484,0.15420782']"
['1908348'],"['46.19809056202087,-122.16610639885269']",[0],"[UTCDateTime(2014, 10, 13, 23, 6, 47, 325000)]",[27.68644219798825],,[92.96776721975436],,[26.172377905501552],[29.480931747954763],[45.637499999999996],[4],"['0.086488602,0.162513029,0.057770166']"
['1902048'],"['46.84814422957513,-121.75349183388761']",[6000],"[UTCDateTime(2014, 10, 10, 5, 15, 38, 875042)]",[201.91459837265754],,[75.09241182809777],,[240.57981527615846],[196.61585884480945],[11.257226857142845],[7],"['0.23257102,0.733479635,0.155383373']"
['1900143'],"['46.85713959923772,-121.75346339001669']",[3000],"[UTCDateTime(2014, 10, 9, 16, 52, 52, 700008)]",[12.765913539085812],,[59.95945795318313],,[19.176741645236312],[20.324035365701484],[10.328587428571426],[7],"['0.110144737,0.44371401,0.070101744']"
['1877348'],"['46.1981030329759,-122.17906203543858']",[1000],"[UTCDateTime(2014, 9, 29, 7, 6, 44, 274998)]",[59.46335477902205],,[133.4163861953348],,[62.53736058048168],[58.16831145459574],[31.66428171428571],[7],"['0.326289725,0.513085788,0.239997187']"
['1877443'],"['46.866114696666216,-121.74031949484284']",[3000],"[UTCDateTime(2014, 9, 29, 6, 16, 7, 999998)]",[178.4138783141956],,[47.62049418411733],,[194.25630513513056],[-567.6225070229162],[21.22142457142857],[7],"['0.433755261,1.734582339,0.263473775']"
['1899043'],"['46.857119345562786,-121.74035013991426']",[5000],"[UTCDateTime(2014, 10, 8, 18, 53, 53, 1)]",[245.558172587955],,[49.0815228981233],,[277.7591838848661],[254.7819021075323],[7.294446444444443],[9],"['0.203772468,1.032369116,0.139254634']"
['1898943'],"['46.866114696666216,-121.74031949484284']",[3000],"[UTCDateTime(2014, 10, 8, 18, 16, 3, 1)]",[503.98281417550317],,[33.51240736053363],,[-202.42814580779788],[-211.4878454970843],[8.600001999999995],[6],"['0.698591059,2.989347016,0.404843412']"
['3087583'],"['46.84816297896432,-121.76660290551352']",[3000],"[UTCDateTime(2014, 9, 27, 17, 33, 7, 52)]",[124.37673925772424],,[64.81727208345185],,[103.11739964848753],[125.8572775469131],[16.393853999999997],[8],"['0.140368997,0.421625321,0.09149059']"
['3087578'],"['46.198123573380435,-122.20497332446621']",[0],"[UTCDateTime(2014, 9, 27, 17, 15, 43, 250052)]",[122.40292108299171],,[220.625501824046],,[124.13590649876254],[116.4076018811589],[35.725103999999995],[4],"['0.76154569,0.413789566,0.350191482']"
['3087558'],"['46.866092938062245,-121.72720406606092']",[5000],"[UTCDateTime(2014, 9, 27, 8, 23, 18, 52)]",[-28.056803174903834],,[17.12827566177065],,[-31.9200331078588],[-32.36619392281056],[4.366770666666663],[6],"['0.184090366,2.112943585,0.120185734']"
['1874263'],"['46.20709944700913,-122.17904512303906']",[1000],"[UTCDateTime(2014, 9, 27, 3, 17, 16, 900000)]",[39.16818697420444],,[180.05513687277576],,[35.97082554711421],[36.58686145243659],[38.87499999999999],[6],"['0.631427018,0.783745551,0.46118877']"
['1874258'],"['46.189106604716805,-122.17907894062105']",[0],"[UTCDateTime(2014, 9, 27, 3, 14, 53, 700052)]",[64.69185694568931],,[78.15878022613981],,[64.02348404758258],[69.11740490357978],[29.17510399999999],[6],"['0.198604047,0.627724707,0.157252283']"
['1874253'],"['46.18911760617305,-122.19203246958193']",[0],"[UTCDateTime(2014, 9, 27, 1, 33, 28)]",[85.00183973897146],,[108.79553528201828],,[87.0455532153338],[90.33207244442424],[20.20833333333334],[6],"['0.237417183,0.514526835,0.171312009']"
