event_ID,location,location_uncertainty(m),origin_time,direction(degrees),direction_sharpness(degrees)params_std_deviation,velocity(m/s),number_of_stationsdirection_snr(degrees),direction_sharpness(degrees),direction_snr(degrees),duration,number_of_stations,params_std_deviation
['3118438'],"['46.85713959923772,-121.75346339001669']",[3000],"[UTCDateTime(2020, 3, 18, 7, 57, 25, 225000)]",[231.587439290552],,[29.171178310038442],,[233.52043810373482],[237.77327874135182],[6.112499999999997],[4],"['0.086677899,0.571676026,0.046821725']"
['3118433'],"['46.84816297896432,-121.76660290551352']",[4000],"[UTCDateTime(2020, 3, 18, 6, 51, 21, 750000)]",[529.8711558838754],,[65.82277513907066],,[-194.95619382152196],[529.7899098386076],[3.837500000000002],[8],"['0.250584126,0.627210507,0.154243559']"
['3119953'],"['46.857175605795106,-121.77968991796128']",[5000],"[UTCDateTime(2020, 3, 31, 13, 26, 9, 625000)]",[48.35793108004422],,[152.20942252527647],,[49.73969923612609],[50.160643385970076],[43.63],[5],"['0.153515821,0.282388003,0.108011766']"
['3119913'],"['46.85709759162653,-121.72723690003168']",[1000],"[UTCDateTime(2020, 3, 30, 20, 7, 23, 999999)]",[4.883418067593597],,[86.96637189230094],,[12.598231446007658],[16.2275738875445],[16.739998000000007],[5],"['0.147175462,0.480254953,0.102977369']"
['3121398'],"['46.84807898176609,-121.71415867883034']",[2000],"[UTCDateTime(2020, 3, 30, 0, 3, 38, 588)]",[306.712808295612],,[188.29339171619958],,[300.9883049426605],[303.46961611362354],[7.763675999999997],[4],"['0.213889234,0.292356224,0.140652415']"
['3121388'],"['46.19811403676282,-122.19201767753954']",[0],"[UTCDateTime(2020, 3, 28, 16, 41, 50, 850000)]",[18.996856252669076],,[166.66413043007296],,[26.40854560487804],[21.77545647678019],[6.006250000000005],[8],"['0.236620166,0.457235053,0.182969424']"
['3117313'],"['46.857119345562786,-121.74035013991426']",[2000],"[UTCDateTime(2020, 3, 10, 12, 3, 55, 1)]",[1.277921910659916],,[82.47950799883988],,[16.955148259021822],[-1.5101646420342283],[10.392859142857143],[7],"['0.217978862,0.656349079,0.146807141']"
['3117428'],"['46.20711999176598,-122.20496064015421']",[1000],"[UTCDateTime(2020, 3, 10, 0, 10, 28)]",[106.40234808699074],,[96.90515621578488],,[124.3536572375042],[103.89863438792202],[20.50833333333333],[6],"['0.308440948,0.514706032,0.204280936']"
['3117193'],"['46.84814422957513,-121.75349183388761']",[2000],"[UTCDateTime(2020, 3, 9, 21, 29, 28)]",[24.4618020714259],,[100.80356980829332],,[7.097845990435173],[36.120581459024315],[12.89166666666668],[6],"['0.519078462,0.884554352,0.309582721']"
['3119218'],"['46.85709759162653,-121.72723690003168']",[5000],"[UTCDateTime(2020, 3, 25, 10, 34, 56, 25000)]",[499.8750114773759],,[123.73820841979371],,[125.29561308415725],[-211.9568386134678],[13.15714285714286],[7],"['0.256452154,0.446098033,0.171003293']"
['3117053'],"['46.857119345562786,-121.74035013991426']",[2000],"[UTCDateTime(2020, 3, 9, 16, 40, 29)]",[100.25398665123724],,[43.30032716284117],,[89.0186290058264],[109.72287757519466],[2.4642857142857184],[7],"['0.167124352,0.943038169,0.117106833']"
['3117043'],"['46.857119345562786,-121.74035013991426']",[2000],"[UTCDateTime(2020, 3, 9, 14, 48, 5)]",[-11.611186396477176],,[85.04439385496471],,[-21.51125918154902],[-13.88944139300451],[8.780000000000012],[5],"['0.167836328,0.444475684,0.111094853']"
['3117118'],"['46.857175605795106,-121.77968991796128']",[4000],"[UTCDateTime(2020, 3, 9, 2, 49, 41, 625000)]",[33.94430673224642],,[80.91344000610844],,[16.342883332215912],[33.345549409218656],[51.775000000000006],[6],"['0.211047285,0.696861063,0.142285347']"
['3117113'],"['46.85709759162653,-121.72723690003168']",[1000],"[UTCDateTime(2020, 3, 9, 1, 11, 29, 172)]",[55.765289169628964],,[21.915094016318697],,[53.62867577380191],[46.18779324722054],[10.590344000000005],[5],"['0.137259765,1.549041984,0.095239964']"
